id	model	vars	class	
CrystalBig_1	CrystalBig_1.nif
CrystalBig_2	CrystalBig_2.nif
CrystalBig_3	CrystalBig_3.nif
CrystalBig_4	CrystalBig_4.nif
CrystalsBig_group1	CrystalsBig_group1.nif
CrystalsBig_group2	CrystalsBig_group2.nif
CrystalSmall_1	CrystalSmall_1.nif
CrystalSmall_2	CrystalSmall_2.nif
CrystalSmall_3	CrystalSmall_3.nif
CrystalsMiddle_group1	CrystalsMiddle_group1.nif
CrystalsMiddle_group2	CrystalsMiddle_group2.nif
CrystalsSmall_group1	CrystalsSmall_group1.nif
CrystalsSmall_group2	CrystalsSmall_group2.nif


