id	model	vars	class	

Alien_egg	alien_egg.nif
Alien_egg2	alien_egg2.nif
Dragon-Teeth-Mushroom_small	Dragon-Teeth-Mushroom_small.nif
Dragon-Teeth-Mushroom_small_ground	Dragon-Teeth-Mushroom_small_ground.nif
Dragon-Teeth-Mushroom_small_triple	Dragon-Teeth-Mushroom_small_triple.nif
Strangled-Mushroom_big	Strangled-Mushroom_big.nif
Strangled-Mushroom_twin	Strangled-Mushroom_twin.nif
Strangled-Mushroom_triple	Strangled-Mushroom_triple.nif
Strangled-Mushroom_small_01	Strangled-Mushroom_small_01.nif
Strangled-Mushroom_small_02	Strangled-Mushroom_small_02.nif
Strangled-Mushroom_small_03	Strangled-Mushroom_small_03.nif
Mad-Daisy_big	Mad-Daisy_big.nif
Mad-Daisy_small	Mad-Daisy_small.nif
Mad-Daisy_medium	Mad-Daisy_medium.nif
Mad-Daisy_medium_claw	Mad-Daisy_medium_claw.nif
Mad-Daisy_big_dry	Mad-Daisy_big_dry.nif
Mad-Daisy_big_single	Mad-Daisy_big_single.nif
Dragon-Teeth-Mushroom_big	Dragon-Teeth-Mushroom_big.nif
Dragon-Teeth-Mushroom_normal	Dragon-Teeth-Mushroom_normal.nif
Purple-Mushroom_big	Purple-Mushroom_big.nif
Purple-Mushroom_medium	Purple-Mushroom_medium.nif
Purple-Mushroom_twin	Purple-Mushroom_twin.nif
Purple-Mushroom_triple	Purple-Mushroom_triple.nif
Purple-Mushroom_small_01	Purple-Mushroom_small_01.nif
Purple-Mushroom_small_02	Purple-Mushroom_small_02.nif
Purple-Mushroom_small_03	Purple-Mushroom_small_03.nif
Spore-Tube_big	Spore-Tube_big.nif
Spore-Tube_single	Spore-Tube_single.nif
Spore-Tube_medium	Spore-Tube_medium.nif
Spore-Tube_small	Spore-Tube_small.nif
Coral-Tube_big	Coral-Tube_big.nif
Coral-Tube_single	Coral-Tube_single.nif
Coral-Tube_small	Coral-Tube_small.nif
Ash-Tube_big	Ash-Tube_big.nif
Ash-Tube_medium	Ash-Tube_medium.nif
Ash-Tube_single	Ash-Tube_single.nif
Ash-Tube_small	Ash-Tube_small.nif
Tropical-Thistle_big	Tropical-Thistle_big.nif
Tropical-Thistle_small	Tropical-Thistle_small.nif
Barrel-Sponge_big	Barrel-Sponge_big.nif
Barrel-Sponge_big_single	Barrel-Sponge_big_single.nif
Barrel-Sponge_small	Barrel-Sponge_small.nif
Barrel-Sponge_small_single	Barrel-Sponge_small_single.nif
Giant-Mushroom_big	Giant-Mushroom_big.nif
Coral-Tube_part_01	Coral-Tube_part_01.nif
Coral-Tube_part_02	Coral-Tube_part_02.nif
Coral-Tube_part_03	Coral-Tube_part_03.nif
Coral-Tube_part_04	Coral-Tube_part_04.nif
Tropical-Thistle_big_01	Tropical-Thistle_big_01.nif
Tropical-Thistle_small_01	Tropical-Thistle_small_01.nif
Mad-Daisy_big_no-claws	Mad-Daisy_big_no-claws.nif
Volcanic-Plant_big	Volcanic-Plant_big.nif
Volcanic-Plant_medium	Volcanic-Plant_medium.nif
Volcanic-Plant_single	Volcanic-Plant_single.nif
WormPlague_Female	WormPlague_Female.kfm
WormPlague_Female_child	WormPlague_Female_child.kfm
WormPlague_Male	WormPlague_Male.kfm
WormPlague_Male_child	WormPlague_Male_child.kfm
WormPlague_Small	WormPlague_Small.kfm
Big_mushroom2	Big_mushroom2.nif
Big_mushroom3	Big_mushroom3.nif
Big_mushroom4	Big_mushroom4.nif
