id	model	vars	class	
Stones_small01	Stones_small01.nif
Stones_small02	Stones_small02.nif
Stones_small03	Stones_small03.nif
Stones_small04	Stones_small04.nif
Stones_small05	Stones_small05.nif
Stones_small06	Stones_small06.nif
Stones_small07	Stones_small07.nif
Stones_small08	Stones_small08.nif
Stones_small09	Stones_small09.nif
Stones_small10	Stones_small10.nif
Stones_small11	Stones_small11.nif
Stones_small12	Stones_small12.nif
Stones_small13	Stones_small13.nif
Stones_small14	Stones_small14.nif
Stones_small15	Stones_small15.nif
Stones_small16	Stones_small16.nif
Stones_small17	Stones_small17.nif
Stones_small18	Stones_small18.nif
Stones_small19	Stones_small19.nif
Stones_small20	Stones_small20.nif
Sharp_stones01	Sharp_stones01.nif
Sharp_stones02	Sharp_stones02.nif
Sharp_stones03	Sharp_stones03.nif
Sharp_stones04	Sharp_stones04.nif
Sharp_stones05	Sharp_stones05.nif
Sharp_stones06	Sharp_stones06.nif
Sharp_stones07	Sharp_stones07.nif
Sharp_stones08	Sharp_stones08.nif
Sharp_stones09	Sharp_stones09.nif
Sharp_stones10	Sharp_stones10.nif
Sharp_stones11	Sharp_stones11.nif

