id	model	vars	class

Aloe-Vera-big	AloeVera.nif	
Aloe-Vera-medium	AloeVera-medium.nif
Aloe-Vera-small	AloeVera-small.nif
Yucca-Bush	Yucca-Bush.nif
Ocotillo-green	Ocotillo_green.nif
Rotten-Agave	Rotten-Agave.nif
Green-Aloe_big	Green-Aloe_big.nif
Green-Aloe_middle	Green-Aloe_middle.nif
Green-Aloe_small_01	Green-Aloe_small_01.nif
Green-Aloe_small_02	Green-Aloe_small_02.nif
Green-Aloe_small_03	Green-Aloe_small_03.nif
Small-Agave_red	Small-Agave_red.nif
Small-Agave_purple	Small-Agave_purple.nif
Dead-fern	dead-fern.nif
