id	model	vars	class
paprat2-1	paprat2-1.nif
paprat2-2	paprat2-2.nif
paprat2-3	paprat2-3.nif
big_bush	big_bush.nif
big_bush2	big_bush2.nif
big-flat-leaves-shrub2	big-flat-leaves-shrub2.nif
big-flat-leaves-shrub3	big-flat-leaves-shrub3.nif
2green-leaves1	2green-leaves1.nif
2green-leaves2	2green-leaves2.nif
2green-leaves3	2green-leaves3.nif
yellow-fiber-leaves1	yellow-fiber-leaves1.nif
paprat-bush1	paprat-bush1.nif
paprat-bush2	paprat-bush2.nif
thick_leaves	thick_leaves.nif
big-flat-leaves2-shrub	big-flat-leaves2-shrub.nif
big-flat-leaves3-shrub	big-flat-leaves3-shrub.nif
crown-fern	crown-fern.nif
cycas-basic	cycas_basic.nif
green-hosta	Green-Hosta.nif
ficus-benjamina	Ficus-Benjamina.nif
Jungle_Bush1	Jungle_Bush1.nif
Jungle_Bush2	Jungle_Bush2.nif
Jungle_Bush3	Jungle_Bush3.nif
Jungle_Bush4	Jungle_Bush4.nif
Jungle_Bush5	Jungle_Bush5.nif
Jungle_Bush6	Jungle_Bush6.nif
Hibiscus	Hibiscus.nif
Forest-Bush_01	Forest-Bush_01.nif
Forest-Bush_02	Forest-Bush_02.nif
