id	model	vars	class	

Saguaro-Cactus_big	Saguaro-Cactus_big.nif
Saguaro-Cactus_medium	Saguaro-Cactus_medium.nif
Saguaro-Cactus_small	Saguaro-Cactus_small.nif
Saguaro-Cactus_small_flowers	Saguaro-Cactus_small_flowers.nif
Saguaro-Cactus_big_rotten	Saguaro-Cactus_big_rotten.nif
Saguaro-Cactus_medium_rotten	Saguaro-Cactus_medium_rotten.nif
Contaminated-Birch_01	Contaminated-Birch_01.nif
Contaminated-Birch_01_small	Contaminated-Birch_01_small.nif
Pony-Tail-Palm_trunk	Pony-Tail-Palm_trunk.nif
Pony-Tail-Palm_trunk_double	Pony-Tail-Palm_trunk_double.nif
Pony-Tail-Palm_trunk_part_01	Pony-Tail-Palm_trunk_part_01.nif
Pony-Tail-Palm_trunk_part_02	Pony-Tail-Palm_trunk_part_02.nif
Pony-Tail-Palm_trunk_part_03	Pony-Tail-Palm_trunk_part_03.nif
Yucca-Half-Dry	Yucca-Half-Dry.nif
Column-Cactus_big	Column-Cactus_big.nif
Column-Cactus_big_single	Column-Cactus_big_single.nif
Column-Cactus_medium	Column-Cactus_medium.nif
Column-Cactus_medium_single	Column-Cactus_medium_single.nif
Column-Cactus_small	Column-Cactus_small.nif	
Column-Cactus_small_single	Column-Cactus_small_single.nif
Lithop_01	Lithop_01.nif
Lithop_02	Lithop_02.nif
Silver-Dollar-Cactus	Silver-Dollar-Cactus.nif
Silver-Dollar-Cactus-triple	Silver-Dollar-Cactus_triple.nif
Barrel-Cactus_01	Barrel-Cactus_01.nif
Barrel-Cactus_02	Barrel-Cactus_02.nif
Barrel-Cactus_tall	Barrel-Cactus_tall.nif
Barrel-Cactus_wide	Barrel-Cactus_wide.nif
Dark-Birch_01	Dark-Birch_01.nif
