id	model	vars	class	
Brick_wall01	Brick_wall01.nif
Brick_wall02	Brick_wall02.nif
Brick_wall03	Brick_wall03.nif
Brick_wall04	Brick_wall04.nif
Brick_corner01	Brick_corner01.nif
Brick_fireplace01	Brick_fireplace01.nif
Brick_building01	Brick_building01.nif
Brick_building01_Jungle	Brick_building01_Jungle.nif
Brick_broken01	Brick_broken01.nif
Brick_broken02	Brick_broken02.nif
Brick_broken03	Brick_broken03.nif
Brick_wall01_Jungle	Brick_wall01_Jungle.nif
Brick_wall03_Jungle	Brick_wall03_Jungle.nif
Brick_wall04_Jungle	Brick_wall04_Jungle.nif
Brick_wall05_Jungle	Brick_wall05_Jungle.nif
Brick_fireplace01_Jungle	Brick_fireplace01_Jungle.nif

