id	model	vars	class
Plant_1	Plant_1.nif
Plant_2	Plant_2.nif
Plant_3	Plant_3.nif	
moss-leaves1	moss-leaves1.nif
Plant_6	Plant_6.nif
Plant_5	Plant_5.nif
Plant_4	Plant_4.nif
Plant_7	Plant_7.nif
Plant_8	Plant_8.nif
Plant_9	Plant_9.nif
Plant_Parts_1	Plant_Parts_1.nif
Plant_Parts_2	Plant_Parts_2.nif
Plant_Parts_3	Plant_Parts_3.nif
Plant_Parts_4	Plant_Parts_4.nif
Plant_Parts_5	Plant_Parts_5.nif
Plant_Parts_6	Plant_Parts_6.nif
Plant_Parts_7	Plant_Parts_7.nif
Plant_Parts_8	Plant_Parts_8.nif
Plant_Parts_9	Plant_Parts_9.nif
Plant_Parts_10	Plant_Parts_10.nif
Plant_Parts_11	Plant_Parts_11.nif
Plant_Parts_12	Plant_Parts_12.nif
Plant_Parts_13	Plant_Parts_13.nif
Plant_Parts_14	Plant_Parts_14.nif
Plant_Parts_15	Plant_Parts_15.nif
Plant_Parts_16	Plant_Parts_16.nif




