id	model	vars	class
TechDEV_1	TechDEV_1.nif
TechDEV_3	TechDEV_3.nif
TechDEV_4	TechDEV_4.nif
TechDEV_5	TechDEV_5.nif
Esperanza_DET1	Esperanza_DET1.nif
PsiRezonator_Ruin	PsiRezonator_Ruin.nif
Esperanza_DET2	Esperanza_DET2.nif
Esperanza_DET3	Esperanza_DET3.nif
TechDEV_4_part1	TechDEV_4_part1.nif
TechDEV_4_part2	TechDEV_4_part2.nif
TechDEV_4_part3	TechDEV_4_part3.nif
Esperanza_DET4	Esperanza_DET4.nif
TechDEV_part4	TechDEV_part4.nif
TechDEV_part5	TechDEV_part5.nif
TechDEV_part6	TechDEV_part6.nif
TechDEV_part7	TechDEV_part7.nif
TechDEV_part8	TechDEV_part8.nif
TechDEV_part9	TechDEV_part9.nif
TechDEV_part10	TechDEV_part10.nif
TechDEV_part11	TechDEV_part11.nif
Gate_v2	Gate_v2.nif
Gate_v3	Gate_v3.nif
TechDEV_6	TechDEV_6.nif
TechDEV_7	TechDEV_7.nif
TechDEV_7_colour2	TechDEV_7_colour2.nif
TechDEV_7_colour3	TechDEV_7_colour3.nif
TechDEV_8	TechDEV_8.nif
TechDEV_8_colour2	TechDEV_8_colour2.nif
TechDEV_8_colour3	TechDEV_8_colour3.nif
TechDEV_9	TechDEV_9.nif











