id	model	vars	class	
tyre_1	tyre_1.nif
Ford_Ka	fordKa.nif
Ford_Ka_broken01	fordKa_Broken01.nif
train_cisterna	train_cisterna.nif
train_cisterna_broken01	train_cisterna_broken01.nif
car2	Car2.nif
car3	Car3.nif
Grab_Machine	Grab_Machine.nif
Grab_Machine_broken_1	Grab_Machine_broken_1.nif
Grab_Machine_broken_2	Grab_Machine_broken_2.nif
Tram	Tram.nif
Tram_broken_1	Tram_broken_1.nif
Trash_Truck	Trash_Truck.nif
boat	boat.nif
Trash_Truck_broken_1	Trash_Truck_broken_1.nif
Trash_Truck_broken_2	Trash_Truck_broken_2.nif
Trash_Truck_green_1	Trash_Truck_green_1.nif
AFV_wreck1	AFV_wreck1.nif
AFV_wreck2	AFV_wreck2.nif
AFV_wreck3	AFV_wreck3.nif
Trash_Truck_green_2	Trash_Truck_green_2.nif
Grab_Machine_green_1	Grab_Machine_green_1.nif
Grab_Machine_green_2	Grab_Machine_green_2.nif
Tram_green_1	Tram_green_1.nif
boat_broken_01	boat_broken_01.nif
Bus01_broken01	Bus01_broken01.nif
Bus01_broken02	Bus01_broken02.nif
Bus01_broken03	Bus01_broken03.nif
Copter01_broken01	Copter01_broken1.nif
Copter01_broken02	Copter01_broken2.nif
Copter01_broken01_Jungle	Copter01_broken1_Jungle.nif
Copter01_broken02_Jungle	Copter01_broken2_Jungle.nif
MAZ537_sit01	MAZ537_sit01.nif
MAZ537_sit02	MAZ537_sit02.nif
MAZ537_sit03	MAZ537_sit03.nif
MAZ537_sit04	MAZ537_sit04.nif
MAZ537_default	MAZ537_default.nif
TankWreck_01	TankWreck_01.nif
TankWreck_02	TankWreck_02.nif
TankWreck_03	TankWreck_03.nif
MechWreck_01	MechWreck_01.nif
MechWreck_02	MechWreck_02.nif
MechWreck_03	MechWreck_03.nif
MechWreck_04	MechWreck_04.nif
Bus01_Jungle	Bus01_broken01_Jungle.nif
Bus02_Jungle	Bus01_broken02_Jungle.nif
Bus03_Jungle	Bus01_broken03_Jungle.nif
AssBotWreck_01	AssBotWreck_01.nif
AssBotWreck_02	AssBotWreck_02.nif
AssBotWreck_03	AssBotWreck_03.nif
PersonnelCarrier_Dawn	PersonnelCarrier_Dawn.nif
