sid	text:de	spoken
briefings.12 cities	Die Menschen, die nicht von der Plage betroffen sind, leben in fünf unabhängigen Megastädten: der Dünenstadt in der Sahaar-Wüste; Saling im ehemaligen China; Varun im Indischen Ozean; Jurra in der sibirischen Taiga; sowie Fort Frost in den Eisfeldern Nordamerikas.<nl><nl>Die Megastädte sind gigantische Türme, die durch xenolitgespeiste Energieschilde vor der Plage geschützt werden. In regelmäßigen Abständen wagen die Menschen kleine Expeditionen in die Wildnis, um Xenolit und andere Rohstoffe zu beschaffen. Dabei kommt es immer wieder zu Kämpfen mit den Mutantenstämmen.	no
briefings.12 denkar	Denkar ni’Varra ist der Sohn des früheren Regenten von Saling, Onkar ni’Varra. Als einer der Lord Commanders von Saling war Denkar verantwortlich für die Sicherheit der Forschungsexpeditionen seines Vaters.<nl><nl>Nach einer verhängnisvollen Expedition kehrte Denkar als einziger Überlebender und somit als rechtmäßiger neuer Regent nach Saling zurück – doch er konnte niemandem mehr in die Augen blicken. Niemand wagte es, ihn öffentlich zu beschuldigen, doch der allgegenwärtige stumme Verdacht des Vatermordes lastete schwer auf ihm.<nl><nl>Sein strenger militärischer Ehrenkodex führte Denkar zum Schluss, dass sein Versagen und die Verdächtigungen es ihm unmöglich machten, die Stadt zu regieren. Er überließ seiner Schwester Arna die Regentenwürde und begab sich freiwillig ins Exil.	no
briefings.12 onkar	Onkar ni’Varra war Regent der Stadt Saling. Verglichen mit vielen seiner Vorgänger war er ein aufgeklärter Herrscher. Er interessierte sich sehr für die Vergangenheit und die Lehre von den Mutanten, und häufig nahm er persönlich teil an Forschungsexpeditionen.<nl><nl>Als er im Grenzland zwischen den Herrschaftsbereichen von Saling und Varun alte Ruinen erkundete, wurde Onkar von Varun-Truppen umgebracht. Sein Sohn Denkar war der einzige Überlebende dieser Expedition.	no
briefings.12 saling	Saling ist eine der fünf Megastädte der Menschen und liegt im ehemaligen China. Die Plage hat das umliegende Land in ein versengtes Ödland verwandelt.<nl><nl>In der Kultur von Saling nimmt die Ehre einen wichtigen Platz ein, sowohl im militärischen System als auch im zivilen Leben.<nl><nl>Der Adelsstand der Stadt versieht seine Familiennamen mit dem Zusatz „ni“. Gegenwärtig stellt die Familie ni’Varra den Regenten von Saling.	no
briefings.12 tamani	Tamani ist eine Mutantensiedlung, die mit einigen anderen Dörfern an einer großen Oase in der Sahaar-Wüste liegt.<nl><nl>Denkar allein weiß, wie er es geschafft hat, mehrere Jahre in der Wildnis zu überleben, und an welche Orte das Schicksal ihn führte, ehe er sich schließlich in Tamani niederließ und sogar Gefallen an einer Mutantin fand.<nl><nl>Seine regelmäßigen Expeditionen in die Wüste waren der Grund für Denkars Abwesenheit, als Soldaten der Dünenstadt Tamani angriffen.	no
briefings.12	Als Denkar den Tod Onkars nicht zu verhindern vermocht hatte, verdächtigte man ihn des Vatermordes. Denkar wusste, dass er so nicht regieren konnte. Er überliess das Amt seiner Schwester Arna und verliess Saling. <nl><nl>Jahre später erreichte Denkar eine Oase in der Sahaar Wüste und nutzte das Dorf Tamani als Ausgangspunkt für Erkundungsreisen in die Umgebung. Als er von einer dieser Expeditionen zurückkehrt, muss Denkar feststellen, dass Tamani von Dünenstadt-Truppen angegriffen wird. Der Feind versperrt den Zugang zum Dorf. Daher muss Denkar Hilfe suchen und sich durchkämpfen.	yes
briefings.13 eji	Eji ist eine Mutantin, die im Dorf Wakono lebt. Niemand weiß, wer ihre Eltern sind. Ganthu fand das Kind im Dschungel und war erstaunt, dass sie es geschafft hatte, alleine unter all den Kreaturen der Plage zu überleben. Mit der Zeit wurde klar, dass Eji über ungewöhnlich starke Psi-Fähigkeiten verfügt. Sie hat die Gabe, zu heilen und sich in andere Wesen hineinzuversetzen. Ganthu nahm sie in seine Obhut und kam nach und nach zum Schluss, dass sie die Erlöserin sein muss, von der in einer alten Prophezeiung die Rede ist.	no
briefings.13 ganthu	Ganthu ist der Hohepriester des Dorfes Wakono. Er ist ein Meister der Mutanten-Magie. Sein besonderes Interesse gilt dem Wissen über die Vergangenheit der Welt, das er ständig zu mehren sucht. Manche Mitglieder des Wakono-Stammes halten seine Reisen und Bemühungen, die Inschriften alter Ruinen zu entziffern, für bloße Zeitverschwendung. Ihnen wäre es lieber, wenn er sich mehr den alltäglichen Problemen des Stammes widmete.	no
briefings.13 ragho	Ragho ist einer der Wakono-Schamanen. Er verfügt über beachtliche Fähigkeiten im Umgang mit Magie, ist jedoch hitzköpfig und sehr von sich selbst überzeugt. Immer wieder ist er durch lautstarke Vorwürfe gegen Ganthu aufgefallen und hat unzählige Streitgespräche mit dem Hohepriester geführt. Immer wieder hat er die Meinung vertreten, dass er ein besserer Anführer wäre als Ganthu.	no
briefings.13	Als er die Dünenstadt-Truppen aus Tamani vertrieben hatte, eilte Denkar mit einigen Tamani-Kriegern zum Nachbardorf Wakono, um es vor dem Angriff zu warnen. Doch als er aus Tamani aufbrach, wurden die xenolitreichen Randgebiete Wakonos bereits attackiert.<nl><nl>Wakonos Hohepriester Ganthu muss die Verteidiger seines Dorfes unterstützen. Doch Ragho hat zahlreiche Soldaten auf eine angebliche „Erkundungsmission“ gesandt. Ganthu muss seine Schülerin Eji beschützen. Für Ganthu ist ihr Wohlergehen von größter Bedeutung, denn er hält sie für die Erlöserin aus einer alten Prophezeiung.	yes
briefings.14 allies	Ganthu und Denkar waren gleichermaßen überrascht, als sie einander begegneten: ein Lord Commander der Menschen, der in einem Mutantendorf lebte und auf Seiten der Stämme kämpfte, und ein Hohepriester, der vor Kurzem die Position als Anführer und Mitglied seines Stammes aufgegeben hatte. Doch das Gespräch, das folgte, hatte ein noch erstaunlicheres Ergebnis.<nl><nl>Ganthu war fasziniert davon, dass Denkars Vater die alten Legenden erforscht hatte und dass auch Denkar selbst Interesse an diesem Thema zeigte. Vielleicht hatte Denkar auf seinen Reisen an Einsicht gewonnen, oder er hatte Sehnsucht nach seiner Heimat und seiner Schwester ... vielleicht gab auch Ejis spiritistischer Einfluss den Ausschlag: Denkar beschloss, gemeinsam mit Ganthu der Erlöserin dabei zu helfen, ihr Schicksal zu erfüllen. Der erste Schritt sollte darin bestehen, zu Onkars Bibliothek nach Saling zu reisen, um nach Hinweisen auf die Erlöser-Prophezeiung zu suchen.	no
briefings.14 ming_base	Offenbar unterhält ein Lord Commander der Dünenstadt unweit der Oase ein Bergbau-Projekt. Sein Stützpunkt ist für die Überfälle auf die Stammessiedlungen verantwortlich. Es ist äußerst ungewöhnlich, dass Bergbautrupps der Menschen Anlagen dieser Größenordnung errichten, geschweige denn über längere Zeit betreiben.<nl><nl>Die Kundschafter der Stämme haben im Bergbau-Lager einen Personenfrachter entdeckt, der rund um die Uhr startbereit ist. Denkar, Ganthu und Eji können ihn entwenden, um nach Saling zu fliegen.	no
briefings.14	Denkar und seine Krieger begegneten Ganthu und Eji außerhalb von Wakono und erfuhren, dass sie zu spät kamen. Sie beschlossen nach reiflicher Überlegung, gemeinsam nach Saling zu reisen, um in Onkars Archiv zu forschen.<nl>Doch die Tamani-Krieger drängten auf Vergeltung für den Angriff der Dünenstadt. Die Arbeit der Aufklärungstruppen ergab, dass beide Ziele zusammen umgesetzt werden konnten.<nl><nl>Ihr Plan ist simpel:<nl>Dringen Sie mit einer handvoll Stammeskrieger in den Dünenstadt- Wüstenstützpunkt ein, strafen Sie den Lord Commander für den Angriff auf die Dörfer, stehlen Sie ein Schiff und erreichen Sie Saling.	yes
briefings.15	Man sollte sich Saling nie in einem Dünenstadt-Schiff nähern. Und so stand Denkar, der die Verteidigungsanlagen kannte, vor einer schweren Entscheidung:<nl>Sollte er riskieren, von seinen eigenen Leuten abgeschossen zu werden, oder zu Fuß die Lavafelder um Saling durchqueren? Schließlich fällte er den Entschluss, das Schiff unweit der Stadt zu landen. Er muss nun die Lavafelder bewältigen, um den nächsten Saling-Außenposten zu erreichen.	yes
briefings.16 mutants	Mutanten werden in den Menschenstädten nicht geduldet; das betrifft sogar menschliche Neugeborene mit Mutationen. Die Mutanten der Stämme dürfen sich zwar nähern und auch ins Innere des Schutzschilds kommen, doch der Zutritt zum Turm der Stadt bleibt ihnen verwehrt.<nl><nl>Als Mitglied der Herrscherfamilie hätte Denkar seine Gefährten vielleicht einschleusen können, doch da er in der Stadt selbst nicht willkommen ist, muss er Ganthu und Eji unbemerkt in die Stadt bringen.	no
briefings.16	Denkar drängte es immer mehr, in die Stadt zu gelangen und Arna, seine Schwester, zu sprechen.<nl>Im Wissen, dass Joss ni'Marten, ein alter politischer Feind der ni'Varras, ihn zur unerwünschten Person erklärt hatte, sorgte sich Denkar, dass seine Schwester die Kontrolle über Saling verloren haben könnte.<nl><nl>Denkar, Ganthu und Eji müssen in Saling eindringen, um Denkars Schwester Arna zu treffen. Da Mutanten den Stadtturm nicht betreten dürfen, will Denkar die Wachen ablenken und sich Zutritt zu einem verborgenen Dienstboteneingang in den Felsen bei der Stadt verschaffen.	yes
briefings.21 aliens	Während Denkar, Ganthu und Eji mit dem Ordensrat sprachen, griffen unbekannte Truppen zeitgleich mehrere Anlagen am Rand von Aurora an. Die Angreifer waren nicht menschlich und sahen weder aus wie gewöhnliche Mutanten, noch schienen sie Kreaturen der Plage zu sein. Manche waren von menschenähnlicher Gestalt; sie schienen die anderen anzuführen. Unter den normalen Truppen gab es offenbar verschiedene Spezies – halb Maschine, halb Lebewesen.<nl><nl>Vom Rat erfuhr Denkar, dass man bei einigen Expeditionen auf vergleichbare Wesen gestoßen sei, deren Herkunft und Absichten jedoch nach wie unklar seinen.	no
briefings.21 arna	Denkars Schwester, Arna ni’Varra, wurde Regentin von Saling, als ihr Bruder die Stadt verließ. Bald darauf jedoch gelang es der rivalisierenden Familie ni’Marten, die Macht ohne Aufsehen an sich zu reißen. Mithilfe von Bestechung, Erpressung und einer Reihe gut geplanter “Unfälle” zogen die ni'Martens Arnas treue Wachen, Berater und Assistenten aus dem Verkehr. Arna wollte sich wehren, doch sie war auf sich allein gestellt. Sie wurde zu einer Marionette der ni’Martens. Als sie sich weigerte, mit ihnen zusammenzuarbeiten, sperrte man sie zu Hause ein und machte sie mit Medikamenten gefügig. Nur zu offiziellen Anlässen trat sie vor die Kameras.<nl><nl>Aus diesem Grund konnte Arna nicht helfen, als Denkar eingesperrt wurde; im Gegenteil: Sie selbst war auf Hilfe angewiesen.	no
