sid	text:de
	
// UNITS //////////////////////////////////////////////////////////////////////	
	
Assassin.name	Assassine
Assassin.descr	Eine Fernkampfeinheit, am stärksten bei maximaler Kampfentfernung. Seine Schüsse können die Panzerung des Ziels für einige Sekunden schwächen.
AssaultBot.name	Sturmbot
AssaultBot.descr	Gut gepanzerte mechanische Einheit. Feuert gelegentlich Raketen, die die Angriffseffektivität getroffener Feinde reduzieren. Kann Salven von Raketen über weite Entfernungen abfeuern.
Commander.name	Lord Commander
Commander.descr	Der Lord Commander ist stark gepanzert und erhält einen Kontaktbonus. Er kann sich selbst heilen und feindliche Angriffe auf sich ziehen.
Constructor.name	Ingenieur
Constructor.descr	Ein mechanischer Offizier, der Maschinen im Kampf reparieren kann. Sein regulärer Angriff kann mehrere Feinde treffen und sie betäuben.
Crew.name	Techniker
Crew.descr	Techniker reparieren automatisch Gebäude, wenn keine Feinde in der Nähe sind.
EliteTrooper.name	Stoßtrupp-Soldat
EliteTrooper.descr	Stoßtrupp-Soldaten gehören einer Eliteeinheit an, die als kurzzeitige Verstärkung eingesetzt wird. Sie können nicht direkt befehligt werden.
Hellfire.name	Höllenfeuer
Hellfire.descr	Langsame und starke mechanische Fernkampfeinheit mit dicker Panzerung und Schild. Kann einen gewaltigen Nahkampf-Flächenangriff durchführen.
Judge.name	Vollstrecker
Judge.descr	Ein starker Offizier, gut geeignet für den Kampf gegen Feinde, die Energie verbrauchen. Kann die Angriffe der Soldaten verstärken und ihnen Elitestatus verleihen.
ProtonTurret.name	Protonen-Geschütz
ProtonTurret.descr	Verteidigungsgeschütztürme, die einem Kontrollturm hinzugefügt werden können.
RepairDrone.name	Reparaturdrohne
Ripper.name	Schlitzer
Ripper.descr	Eine schnelle, mechanische Nahkampfeinheit. Hat die Chance, den Feind beim Angriff zu betäuben.
Surgeon.name	Chirurgin
Surgeon.descr	Eine Spezialistin, die dazu ausgebildet ist, organische Einheiten im Kampf zu heilen. Sie ist im Allgemeinen eine schwache Kämpferin, aber sehr stark bei Angriffen aus nächster Nähe.
Technician.name	Techniker
Technician.descr	Nicht für den Kampf ausgebildete Einheiten, die sich um Geräte und Artefakte aller Art kümmern.
Trooper.name	Soldat
Trooper.descr	Relativ kostengünstig, mit Bonus auf kurzer Distanz. Wirft im Kampf gelegentlich Granaten. Kann zum Elitestatus befördert werden, um seine Chance auf schwere Treffer zu erhöhen.
	
AlienEgg.name	Ei
AlienEgg.descr	Eine biomechanische Einheit, die von Portalen oder Brütern hervorgebracht wird. Eier dienen zur Verteidigung und setzen ihre Brut frei, wenn sie zerstört werden.
Arbiter.name	Tyrann
Arbiter.descr	Eine Fernkampfeinheit, am stärksten bei maximaler Kampfentfernung. Die Schüsse können mehrere Ziele auf einmal treffen. Kann Panik und chaotisches Fluchtverhalten unter den Feinden auslösen.
Dominator.name	Unterdrücker
Dominator.descr	Eine starke Einheit zur Massenkontrolle, die Feinde lähmt und ihnen Energie entzieht. Keine Panzerung kann die Angriffe schwächen.
Harvester.name	Seelenernter
