sid	text:de
	
//// Units	
HowlingHorror.descr	Langsame, mächtige Nahkampfeinheit der Unterwelt. Verfügt über eine Defensivhaltung, bei der sie sich selbst heilt.
	
//// Objects	
Xenolite.descr	Sie können an diesem Xenolit-Vorkommen ein Gebäude erbauen, um Ihr Ressourcen-Einkommen zu erhöhen.
	
//// Abilities	
ControlTower.descr	Der Kontrollturm fördert Xenolit. Er ist bewehrt und kann mit Geschütztürmen und einem Bewegungsmelder aufgerüstet werden. Außerdem kann er zum Ausheben von Truppen eingesetzt werden.
OreExtractor.descr	Der Erz-Extraktor baut Xenolit ab und dient als Verteidigungsanlage. Er kann zum Kontrollturm aufgerüstet werden.
	
Temple.descr	Der Tempel macht die Energie des Xenolits nutzbar. Er greift zudem Feinde in der Nähe an und füllt die Energie und Trefferpunkte von Verbündeten in der Nähe auf. Er dient auch zum Ausheben von Einheiten und Arbeitern.
Shrine.descr	Der Schrein macht die Energie des Xenolits nutzbar und heilt Verbündete in der Nähe. Dient auch zum Herbeirufen von Arbeitern. Der Schrein kann zum Tempel aufgerüstet werden.
	
Portal.descr	Das Portal verbraucht Xenolit. Es bringt zudem Eier hervor und hat einen negativen Einfluss auf Feinde in der Umgebung. Das Portal dient zum Ausheben von Einheiten und zum Bau von Brütern in entfernten Bereichen.
Breeder.descr	Der Brüter verbraucht Xenolit und produziert Eier. Er dient zum Ausheben einfacher Einheiten (Trisats und Tritechs) und kann zum Portal aufgerüstet werden.
	
ControlTower.abilities.LargeCrew.text	Befinden sich keine Feinde in der Umgebung des Kontrollturms, erscheint seine Wartungsmannschaft mit drei Technikern, die jeglichen Schaden, den das Gebäude erleiden musste, ausbessern. Liegt der Schaden bei über 75 %, hilft ein weiterer Techniker aus.
	
OreExtractor.abilities.SmallCrew.text	Ist der Erz-Extraktor beschädigt, und es befinden sich keine Feinde in seiner Umgebung, erscheinen zwei Techniker, die den Schaden reparieren.
	
Temple.abilities.DarkWindAbi.text	Nähern sich feindliche Truppen dem Tempel, wird er von dunklen Wolken bedeckt, und die Angreifer werden von Blitzen getroffen. Jeder Blitzschlag verursacht [stat:dark_wind_damage] Schaden.
Temple.abilities.FireLashAbi.text	Die Aufrüstung „Feuerpeitsche“ erhöht den Schaden, den die Blitze des Tempels verursachen, auf [stat:fire_lash_damage]. Sie schmelzen zudem den Boden, den sie treffen. Befinden sich Einheiten auf diesen Flächen, erleiden sie [stat:fire_lash_area_damage] Schaden pro Zeiteinheit.
	
Worker.abilities.RepairAbi.name	Gebäudereparatur
Worker.abilities.RepairAbi.text	Der Arbeiter kann beschädigte Gebäude reparieren.
Worker.abilities.BuildAbi.name	Schreinbau
Worker.abilities.BuildAbi.text	Der Arbeiter kann auf einem freien Xenolit-Vorkommen einen neuen Schrein bauen.
	
MindVisionAction.descr	Richtet die Kräfte der Natur auf einen ausgewählten Bereich, wo für mehrere Sekunden alles sichtbar wird.
	
DischargeAbi.text	Der Angriff des Vollstreckers hat eine Chance von [stat:discharge_chance] %, seinem Ziel [burned_power] Energiepunkte zu entziehen und sie in Schaden umzuwandeln.
	
//// Actions	
HowlAction.descr	Flößt [stat:howl_fear_duration] Sekunden lang allen Feinden in der Umgebung Furcht ein und nimmt [stat:howl_duration] Sekunden lang eine Defensivhaltung ein. In dieser Haltung heilt sich der Horror [stat:howl_hp_perc] % Trefferpunkte pro Zeiteinheit und ignoriert [stat:howl_ignore_perc] % des erlittenen Schadens.
Reinforce.descr	Anklicken, um alle seit Missionsbeginn verlorenen Einheiten wiederherzustellen.
	
//// Effects	
Kai_Rider.frenzy.effect.name	Erzürnung
Kai_Rider.frenzy.effect.text	Diese Einheit ist erzürnt. Ihre Chance auf einen schweren Treffer steigt.
CPCorruptedBody.name	Aufputschen
CPCorruptedBody.text	Die Werte dieser Einheit werden durch eine verdorbene Macht erhöht.
CPCorruptedMind.name	Korrumpierung
CPCorruptedMind.text	Der Verstand dieser Einheit ist korrumpiert, sodass sie für den Feind kämpft.
AncientSmith.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmith.abilities.ConfuseAbi.effect.effect.text	Die Panzerung des alten Smith wird während eines Verwirrungsmanövers verstärkt.
AncientSmith.AncientSmithBerserkAura.effect.name	Berserker
AncientSmith.AncientSmithBerserkAura.effect.text	Der Schaden dieser Einheit wird durch die Berserker-Aura eines alten Smith in ihrer Nähe erhöht.
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	Die Panzerung des alten Smith wird während eines Verwirrungsmanövers verstärkt.
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	Diese Einheit wird von einem alten Smith bedroht und kann keinen anderen Feind angreifen.
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	Die Panzerung des alten Smith wird während eines Verwirrungsmanövers verstärkt.
AncientSmithMinion.AncientSmithFortifyAura.effect.name	Festigung
AncientSmithMinion.AncientSmithFortifyAura.effect.text	Der Schaden dieser Einheit wird durch die Festigung-Aura eines alten Smith in ihrer Nähe erhöht.
