sid	timing	text
intro_line_1	00:00:03,408 --> 00:00:06,246	… Sag, Eji, warum bist du so besorgt?
intro_line_2	00:00:06,281 --> 00:00:09,243	Ich habe Raghos Streit mit dir gehört.
intro_line_3	00:00:09,278 --> 00:00:12,433	Ah, ja. Er ist wirklich sehr ehrgeizig.
intro_line_4	00:00:12,759 --> 00:00:15,033	Er könnte einst mein Erbe antreten,
intro_line_5	00:00:15,068 --> 00:00:19,513	doch ein guter Anführer muss lernen,<nl>seinen Zorn zu beherrschen.
intro_line_6	00:00:25,399 --> 00:00:27,260	Lord ni’Varra ist da!
intro_line_7	00:00:43,097 --> 00:00:45,816	Vater. Bist du sicher, dass du nicht mehr Wachen brauchst?
intro_line_8	00:00:45,817 --> 00:00:48,726	Wir suchen uraltes Wissen, nicht den Kampf.
intro_line_9	00:00:48,727 --> 00:00:52,381	Und die Soldaten gehören zu den besten von Saling.
intro_line_10	00:00:53,167 --> 00:00:54,113	Passt auf euch auf!
intro_line_11	00:01:01,432 --> 00:01:05,388	Oh mein Kind, du erstaunst mich immer wieder aufs Neue.
intro_line_12	00:01:05,762 --> 00:01:07,417	Aber Ganthu, es ist nur eine Blume!
intro_line_13	00:01:08,014 --> 00:01:12,564	Darum geht es nicht. Den Tod<nl>zu besiegen ist ein Wunder.
intro_line_14	00:01:12,565 --> 00:01:17,705	Doch bedenke, auch die kleinste Tat hat ihren Preis.
intro_line_15	00:01:19,003 --> 00:01:20,873	Sir, Ihr Vater kommt.
intro_line_16	00:01:22,202 --> 00:01:23,502	Ihr Bericht, Commander.
intro_line_17	00:01:23,833 --> 00:01:26,462	Wir sind fast soweit, Sir!
intro_line_18	00:01:30,834 --> 00:01:35,969	Einst wirst du dein Schicksal erfüllen.<nl>Dann werde ich dir stolz zur Seite zu stehen.
intro_line_19	00:01:36,487 --> 00:01:40,210	Mein Schicksal … manchmal stelle ich mir vor,<nl>es wäre prophezeit, aber …
intro_line_20	00:01:40,211 --> 00:01:42,382	kann denn ein Einzelner so wichtig sein?
intro_line_21	00:01:43,596 --> 00:01:45,318	„Alles ist eins“, heißt es.
intro_line_22	00:01:45,319 --> 00:01:49,889	Vielleicht ist dir eine Rolle vorbestimmt<nl>in einer uralten Geschichte …
intro_line_23	00:01:49,889 --> 00:01:53,167	oder vielleicht stehen wir erst an ihrem Anfang.
