sid	text

ConfuseAction.spell.effect.effect2.name	Verwirrung
ConfuseAction.spell.effect.effect2.text	Diese Einheit wird von einem Lord Commander bedroht und kann keinen anderen Feind angreifen.

AncientSmith.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmith.abilities.ConfuseAbi.effect.effect.text	Die Panzerung des alten Smith wird während eines Verwirrungsmanövers verstärkt.
AncientSmith.abilities.ConfuseAbi.effect.effect2.name	Verwirrung
AncientSmith.abilities.ConfuseAbi.effect.effect2.text	Diese Einheit wird von einem alten Smith bedroht und kann keinen anderen Feind angreifen.

AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	Die Panzerung des alten Smith wird während eines Verwirrungsmanövers verstärkt.
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.name	Verwirrung
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.text	Diese Einheit wird von einem alten Smith bedroht und kann keinen anderen Feind angreifen.

AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	Die Panzerung des alten Smith wird während eines Verwirrungsmanövers verstärkt.
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.name	Verwirrung
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.text	Diese Einheit wird von einem alten Smith bedroht und kann keinen anderen Feind angreifen.

AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	Verwirrung
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	Die Panzerung des alten Smith wird während eines Verwirrungsmanövers verstärkt.
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.name	Verwirrung
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.text	Diese Einheit wird von einem alten Smith bedroht und kann keinen anderen Feind angreifen.

QueenProtector.abilities.Taunt.effect.effect.name	Heilung
QueenProtector.abilities.Taunt.effect.effect.text	Die Königin wird von einem Königinnen-Beschützer geheilt.
QueenProtector.abilities.Taunt.effect.effect2.name	Verwirrung
QueenProtector.abilities.Taunt.effect.effect2.text	Diese Einheit wird durch einen Königinnen-Beschützer bedroht und kann keinen anderen Feind angreifen.

BridgeTrooper.abilities.Inject.effect.name	Injektion
BridgeTrooper.abilities.Inject.effect.text	Der Soldat regeneriert seine Gesundheit durch den Einfluss injizierter Medikamente.
