sid	text:de
	
Checkpoint.name	Kontrollpunkt
Checkpoint.descr	Wenn Sie den Kontrollpunkt aktivieren und später in der Mission scheitern, ist im Niederlage-Menü die Option verfügbar, die Mission mit dem bisherigen Fortschritt erneut zu versuchen.
	
14.beams_switch.name	Käfigsteuerung
14.beams_switch.descr	Schaltet die Energieschranke des Käfigs ab.
14.door_switch.name	Torsteuerung
14.door_switch.descr	Öffnet das Tor in der Nähe.
	
16.guard_body_switch.name	Toter Soldat
16.guard_body_switch.descr	Anscheinend hat er diesen Durchgang bewacht. Es wäre sinnvoll, ihn zu durchsuchen.
16.gate_switch.name	Torsteuerung
16.gate_switch.descr	Sie können das Tor mit der Zugangskarte öffnen.
16.explosives_switch.name	Sprengsätze
16.explosives_switch.descr	Hier kann Denkar Sprengstoff stehlen.
16.explosive_place_switch.name	Gebäude
16.explosive_place_switch.descr	An diesem Gebäude kann Denkar Sprengsätze platzieren.
	
22.diary_switch.name	Onkars Tagebuch
22.diary_switch.descr	Sie müssen Onkars Tagebuch besorgen.
	
23.artifact_switch.name	Alte Maschine
23.artifact_switch.descr	Diese Überreste müssen untersucht werden.
23.generator_switch.name	Energiegenerator
23.generator_switch.descr	Der Generator muss aktiviert werden.
	
26.gate_switch.name	Alter Mechanismus
26.gate_switch.descr	Versuchen Sie, die alte Maschine zu deaktivieren!
	
35.spawner_switch.name	Teleporter
35.spawner_switch.descr	Tharksh muss diesen Empfänger deaktivieren.
35.teleport1_switch.name	Teleport- Steuerung
35.teleport1_switch.descr	Tharksh muss das Teleportationsfeld von hier aus aktivieren.
35.teleport2_switch.name	Teleport- Steuerung
35.teleport2_switch.descr	Tharksh muss das Teleportationsfeld von hier aus aktivieren.
35.teleport_in_switch.name	Jaar-Lash-Schild
35.teleport_in_switch.descr	Nur Jaar-Lash-Einheiten können diesen Schild durchqueren.
35.teleport_out_switch.name	Jaar-Lash-Schild
35.teleport_out_switch.descr	Nur Jaar-Lash-Einheiten können diesen Schild durchqueren.
	
rom.door_switch.name	Torsteuerung
rom.door_switch.descr	Öffnet das Tor in der Nähe.
	
dtb.door_switch.name	Torsteuerung
dtb.door_switch.descr	Öffnet das Tor in der Nähe.
	
bsa.next_wave.name	Nächster Kampf
bsa.next_wave.descr	Signalisieren Sie dem Sprecher, dass Sie für den nächsten Kampf bereit sind.
	
kharum.talk_to_priest.name	Reden
kharum.talk_to_priest.descr	Reden Sie mit dem Hohepriester des Dorfes.
kharum.call_ranboo.name	Haus
kharum.call_ranboo.desct	Sie können an die Tür dieses Hauses klopfen.
kharum.talk_to_ranboo.name	Reden
kharum.talk_to_ranboo.descr	Reden Sie mit Ran Boo.
kharum.power_source.name	Alte Energiequelle
kharum.power_source.descr	Bringen Sie Ran Boo in die Nähe, um die Energiequelle zu aktivieren.
kharum.ancient_device.name	Altes Gerät
kharum.ancient_device.descr	Bringen Sie Ran Boo in die Nähe, um das alte Gerät zu aktivieren.
kharum.door_switch.name	Torsteuerung
kharum.door_switch.descr	Öffnet das Tor in der Nähe.
	
safari.door_switch.name	Torsteuerung
safari.door_switch.descr	Öffnet das Tor in der Nähe.
