sid	text:de
	
ResurrectLeader.name	Anführer wiederbeleben
ResurrectLeader.descr	Erwecken Sie einen Anführer wieder zum Leben.
	
rh.teleport_switch.name	Teleportieren
rh.teleport_switch.descr	Aktivieren, um die Einheiten in der Umgebung in einen anderen Bereich zu teleportieren.
rh.bridge_switch.name	Brückensteuerung
rh.bridge_switch.descr	Die Kraftfeldbrücke wird über den Abgrund ausgefahren.
	
bt.shield_switch.name	Verteidigung
bt.shield_switch.descr	Sie erhalten eine Spezialverteidigungsfähigkeit.
bt.weapon_switch.name	Angriff
bt.weapon_switch.descr	Sie erhalten eine Spezialangriffsfähigkeit.
	
DeviceSwitch.name	Gerät
DeviceSwitch.descr	Sie können ein Gerät in der Umgebung steuern.
