sid	text
	
tip0	Halten Sie beim Ausführen einer Gruppenaktion STRG gedrückt, um sie von allen ausgewählten Einheiten ausführen zu lassen.
tip1	Halten Sie die Umschalttaste gedrückt, um mehrere Gruppenaktionen in Serie durchzuführen.
tip2	Halten Sie die mittlere Maustaste gedrückt und bewegen Sie die Maus, um die Kamera zu drehen. Halten Sie ALT und die mittlere Maustaste gedrückt, um die Kamerahöhe zu ändern.
tip3	Mit den Tasten F1, F2 und F3 können Sie im Gefechts-, Trainings- und Deathmatch-Modus globale Aktionen ausführen.
tip4	Mit den Tasten F5 bis F8 können Sie Ziele markieren und die Zieldaten Ihren Mitspielern übermitteln. Mit den Tastenkombinationen STRG + F5 bis STRG +F8 wählen Sie das letzte markierte Ziel jeden Typs.
tip5	Bei manchen Einheiten hängt der Schaden, den sie verursachen, von ihrer Distanz zum Ziel ab. Versuchen Sie, sie möglichst effizient zu positionieren.
tip6	Auf dem Schlachtfeld können keine Gegenstände ausgerüstet werden.
tip7	Die Xenoscherben werden benötigt, um Spezialisierungen zurückzusetzen und gesperrte Spezialisierungen zugänglich zu machen. Auf dem Schlachtfeld erworbene Artefakte können unter Umständen eine Xenoscherbe enthalten.
tip8	Jede freigeschaltete Spezialisierung steigert die Anzhal Ihrer verfügbaren Sterne. Sie können bis zu 10 Sterne frei in Ihrem Spezialisierungsbaum verteilen, um Ihre Armee zu verbessern.
tip9	Drücken Sie ALT + linke Maustaste, um auf der Minikarte Pings auszusenden.
tip10	Sie können Aktionen auf Auswahl- und Offizierssymbole anwenden. Die Aktion wird dann auf die entsprechende Einheit ausgeführt.
tip11	Sie erhalten Zugriff auf Spezialkarten, wenn Sie Missionen oder andere Spezialkarten bewältigt haben.
tip12	Für die Teilnahme an Deathmatch- und Gefechts-Spielen erhalten Sie Schlachtpunkte. Diese können Sie gegen Gegenstände eintauschen.
tip13	Steingeister und Energieaufseher können die Energie anderer Einheiten aufladen.
tip14	Höllenfeuer-Einheiten können im Laufen feuern.
tip15	Denken Sie daran, dass Ihr Anführer in manchen Missionen und auf manchen Spezialkarten Verstärkung anfordern kann. Dies füllt auch Trefferpunkte und Energievorrat der überlebenden Einheiten wieder auf.
tip16	Die Kontrollpunkte einer Mission werden zurückgesetzt, wenn Sie die Mission verlassen!
tip17	In Mehrspielerpartien sollten Sie die Einheiten, mit denen Sie das Spiel beginnen möchten, sorgfältig auswählen. Die Einstellungen werden für den aktuellen Spieltyp gespeichert.
tip18	Sammeln Sie die Gegenstände ein, die auf manchen Karten verborgen sind.
tip19	Die Farbe der Elemente gibt Aufschluss über ihre Seltenheit. Sie reicht von Grau über Grün, Gelb und Orange bis hin zu Violett.
tip20	Sagen Sie ganz schnell: „Tausende tollkühne Truppen terminieren Tharkshs Trisats und Tritechs triumphal.”
