sid	text:de
	
//// Common labels	
ok	O. K.
cancel	ABBRECHEN
yes	JA
no	NEIN
error	FEHLER
	
//// Entrance screen	
text_current_profile	AKTUELLES PROFIL:
text_current_profile_gs	AKTUELLES PROFIL (GameSpy-ID):
enter game	SPIEL BETRETEN
entering lobby	Betritt Lobby ...
change profile	PROFIL ÄNDERN
replay intro	INTRO WIEDERHOLEN
credits	MITWIRKENDE
exit to desktop	ZUM DESKTOP
incorrect password	Das eingegebene Passwort ist nicht korrekt.
gamespy_ttl	GameSpy
gslegal_text	Dieses Produkt beinhaltet Software-Technologie, die unter Lizenz von GameSpy Industries, Inc. verwendet wird. © 1999-2007 GameSpy Industries, Inc. GameSpy und das „Powered By GameSpy“-Logo sind Marken von GameSpy Industries, Inc. Alle Rechte vorbehalten.
	
//// Profiles window	
profiles	Profile
selected profiles	Wählen Sie ein bestehendes Profil oder erstellen Sie ein neues.
local account	Lokales Profil
gamespy id account	GameSpy-ID-Profil
new	Neu
del	Entf
delete account ttl	Profil löschen
delete account	Soll das Profil auch bei GameSpy gelöscht werden?
enter password:	Passwort eingeben:
	
//// New Profile window	
create account	Profil erstellen
name	Name
psw	Pw
email	E-Mail
no profile	Kein Profil zum Löschen ausgewählt!
	
//// Main screen	
missions	MISSIONEN
special locations btn	SPEZIAL-<nl>KARTE
pvp	DEATHMATCH
skirmish	GEFECHT
practice	TRAINING
abilities btn	FÄHIGKEITENFELD
chat settings	CHAT-EINSTELLUNGEN
settings	EINSTELLUNGEN
exit	BEENDEN
exiting	WIRD BEENDET ...
text_no_sp_locations	Sie haben noch keine Spezialkarten entdeckt.
	
//// Missions window	
clicktoviewinfo	Weitere Informationen:<nl>links eine Mission wählen
locked_mission	Diese Mission ist noch gesperrt.
completed	ABGESCHLOSSEN
fastest time	BESTE ZEIT: [#] Std. [#] Min. [#] Sek.
rewards:	BELOHNUNGEN:
replay	WIEDERHOLEN
	
//// Game List window	
all locations	ALLE KARTEN
all	ALLE
big	GROSS
small	KLEIN
ping	PING
quick join	SCHNELLBEITRITT
join	BEITRETEN
error joining	BEITRITTSFEHLER
create	ERSTELLEN
special locations	SPEZIALKARTEN
open special location games	SPEZIALKARTEN-SPIELE ÖFFNEN
open practice games	TRAININGSSPIELE ÖFFNEN
err_onlysingle	DIESE KARTE IST NUR IM EINZELSPIELER-MODUS VERFÜGBAR.
err_toobigteam	IHR TEAM IST ZU GROSS FÜR DIESE KARTE.
auto_findgame	VERSUCHT, SPIEL ZU FINDEN ...
auto_findteam	VERSUCHT, TEAM ZU FINDEN ...
the game is full	Das Spiel ist voll.
	
//// Active Game window	
special location	SPEZIALKARTE
pvp_title	Deathmatch
arr_team	Festes Team
random_player	Zufällig ausgewählter Spieler
random	Zufall
team	Team
pvp_help	<color=255, 143, 51><b>Deathmatch-Optionen</></><nl><nl>Bei Deathmatch-Spielen kämpfen Sie gegen unbekannte Gegner und verdienen sich Artefakte.<nl>Wählen Sie zwischen den Teamgrößen „1-vs.-1“, „2-vs.-2“ oder „3-vs.-3“.<nl>Wählen Sie „Team“ oder „Zufall“, um die Art Ihrer Gruppe zu bestimmen.<nl>Über „Team“ können Sie bestimmte Spieler einladen, bei „Zufall“ spielen Sie in einer willkürlich zusammengestellten Gruppe.<nl>Die Mitglieder eines zufälligen Teams werden ausgewählt, nachdem Sie auf „Start“ geklickt haben.<nl>Die automatische Zuordnung wählt ein gegnerisches Team desselben Typs (fest oder zufällig).
hard ai	Starke KI
easy ai	Schwache KI
s game	Spiel von [#]
s game: 	Spiel von [#]:
s line up	Aufstellung von [#]
1v1	1-vs.-1
2v2	2-vs.-2
3v3	3-vs.-3
<closed>	<gesperrt>
<open>	<frei>
leave	VERLASSEN
start	START
	
//// Chat settings window	
friends list	FREUNDELISTE
ignore list	IGNORIEREN-LISTE
chat_tab	KANÄLE
standart channels	STANDARDKANÄLE
default	Voreingestellt
default channel	Voreingestellter Kanal
general	Allgemein
virtual channels	VIRTUELLE KANÄLE
tells	Privatnachrichten
created game lobby	Erstelltes Spiel
user channels	BENUTZERKANÄLE
text_unassigned	<nicht zugewiesen>
sl_invalidchannelname	Ungültige Kanalbezeichnung. Es gelten nur lateinische Buchstaben ohne Leerzeichen!
text_chatviewsetup_title	BENUTZER-CHAT-ANSICHT #[#]
shorcut_assign	Drücken Sie die Schnelltaste, der Sie den Kanal „[#]“ zuweisen wollen. Enter oder Leertaste löschen die vorhandene Zuweisung, Escape beendet den Vorgang.
chat views:	CHAT-ANSICHTEN:
help_chatsetup	Klicken Sie auf die Ansicht-Symbole unten, um festzulegen, welche Kanäle Sie in welcher Ansicht sehen möchten.
clicktosetupchanel	Wählen Sie die Kanäle, die Sie in Ihrer Chat-Ansicht Nr. „[#]“ sehen möchten.
find	Suchen
game	Spiel
F_riend	F
I_gnored	I
addtofriends	Zu Freunden hinzufügen
invitetoteam	In Team einladen
inviteasopponent	Als Gegner einladen
viewinfo	Info ansehen
ignore	Ignorieren
	
//// Other chat-related texts	
from	Von
to	An
text_user_join_game	<i><color=180,180,180>Der Spieler „[#]“ ist dem Spiel beigetreten.</></>
text_user_left_game	<i><color=180,180,180>Der Spieler „[#]“ hat das Spiel verlassen.</></>
text_user_rename	<i><color=180,180,180>Der Spieler „[#]“ heißt jetzt „[#]“.</></>
	
//// Game invitation texts	
invite player:	Spieler einladen:
text_type_player_name	<Name hier eingeben>
accept	Annehmen
decline	Ablehnen
