sid	text

gs_game_disabled	Die Testzeit dieser Version ist abgelaufen.
voice	Stimme
inspect_forbidden_ttl	BETRACHTEN NICHT ERLAUBT!
inspect_forbidden_txt	Der Spieler erlaubt nicht, betrachtet zu werden.
paused	PAUSIERT
antialiasing	Anti-aliasing
kicked	Sie wurden aus dem Spiel geworfen.
res_error	Gewünschte Bildschirmauflösung kann nicht gewählt werden.
dmmeters_stl1	(Spieler<color = 52,157,255> in Vorbereitung</>, <color = 183,94,216> im Spiel</> und<nl><color = 241,182,1> suchend</>)
trash_ttl	Recycle einen Gegenstand
trash_txt	Recyceln Sie hier einen Gegenstand. Sie haben die Chance, dabei eine Xenoscherbe zu erhalten. Die Wahrscheinlichkeit, eine Xenoscherbe zu erhalten, richtet sich nach der Qualität des Gegenstandes.

log_txt	Bitte hier klicken um die letzten Konversationen anzuzeigen
Ran Boo_dead	Ran Boo ist tot!
Kharum Priest_dead	Kharums Hohepriester ist tot!
Trooper.trooper_name	Soldat
Trooper.elite_name	Elitesoldat
trooper_name.name	Soldat
elite_name.name	Elitesoldat
