sid	text
ach_campaign	Thwarter of Demonic Alien Schemes a.k.a. Savior of the Planet
ach_items_1	Seeker
ach_items_2	Collector
ach_items_3	Treasure Hunter
ach_humans_1	Supporter of the Senate
ach_humans_2	Fist of the Senate
ach_humans_3	Hero of the Senate
ach_tribes_1	Friend of the Tribes
ach_tribes_2	Defender of the Tribes
ach_tribes_3	Warlord of the Tribes
ach_cult_1	Disciple of Thar’Kyn
ach_cult_2	Adept of Thar’Kyn
ach_cult_3	Master of Thar’Kyn
ach_pvp_1	Veteran
ach_pvp_2	Champion
ach_pvp_3	Legend
ach_top_kills_1	Deathstrike
ach_top_kills_2	Soulreaper
ach_top_kills_3	Hand of Doom
ach_top_heal_1	Nurse
ach_top_heal_2	Paramedic
ach_top_heal_3	Heal Bot
ach_top_damage_1	Painbringer
ach_top_damage_2	Destroyer
ach_top_damage_3	Obliterator
ach_top_tank_1	T-34
ach_top_tank_2	T-72
ach_top_tank_3	M1A1 Abrams
ach_locations	Explorer
ach_bosses_1	Scout
ach_bosses_2	Tracker
ach_bosses_3	Big Game Hunter
ach_pvp_kills_1	Slayer
ach_pvp_kills_2	Exterminator
ach_pvp_kills_3	Devastator
ach_pvp_kills_4	Chuck Norris
ach_win_streak_1	Victor
ach_win_streak_2	Conqueror
ach_win_streak_3	Dominator
ach_kills_1g_1	Soldier
ach_kills_1g_2	Captain
ach_kills_1g_3	General
ach_res_1g_1	Gatherer
ach_res_1g_2	Entrepreneur
ach_res_1g_3	Industrialist
ach_loc_challenge	Adventurer
ach_respecs_1	Tester
ach_respecs_2	Experimenter
ach_respecs_3	Slow Thinker
