sid	text	spoken
briefings.12 cities	Presently, humans still free of the Plague’s corruptive touch live in five independent megalopolises: Dunetown, in the desert of Sahaar; Saling, in former China; Varun, in the Indian Ocean; Jurra, in the swampy jungles of former Siberia; and Fort Frost, in the frozen fields of North America.<nl><nl>These megacities are huge towers protected from the Plague and other outside influences by strong xenolite-powered force shields. The humans regularly send small expeditions into the wilderness to mine xenolite and collect other much-needed resources. This often leads to skirmishes with the mutant tribes.	no
briefings.12 denkar	Denkar ni’Varra is the son of the former Governor of Saling, Onkar ni’Varra. As one of the Lord Commanders of Saling, Denkar was responsible for the security of his father’s research expeditions.<nl><nl>After overseeing a disastrous expedition of which Denkar was the sole survivor, and as a result, the Governor by right of succession, he returned to Saling only to discover he could no longer look people in the eyes. No one dared an open accusation, but the word ‘patricide’ hung in the air everywhere.<nl><nl>Guided by his strict military code of honor, Denkar believed that his failure, alongside these suspicions, made him unworthy of ruling the city. He decided to give up the position of Governor to his sister Arna and entered into a self-imposed exile.	no
briefings.12 onkar	Onkar ni’Varra was the Governor of the city of Saling. An enlightened ruler compared to most of his predecessors, he had a passion for ancient history and mutant lore, and often personally took part in exploration expeditions.<nl><nl>Onkar was killed by Varunian troops while investigating ancient ruins near the border which separates the Salingian and Varunian zones of influence. His son, Denkar, also took part in the expedition, and proved to be its only survivor.	no
briefings.12 saling	Saling is one of the five human megacities, located in former China. The Plague has turned the surrounding lands into an ever-burning wasteland.<nl><nl>In Saling culture, the concept of honor plays a very important role, both in military and civic matters.<nl><nl>The city’s nobility add the prefix "ni" to their family names. Currently, the city’s Governorship belongs to the ni’Varra family.	no
briefings.12 tamani	Tamani is a mutant settlement located alongside other villages in a sprawling oasis in Sahaar.<nl><nl>No one but Denkar knows how he had survived for several years in the wastelands or where his travels had taken him, but he had recently settled in Tamani and soon had a budding relationship with a local mutant girl.<nl><nl>As Denkar regularly went on exploration trips through Sahaar, he was absent when Dunetown forces laid siege to Tamani.	no
briefings.12	Having failed to save Onkar’s life, rumors spread that Denkar had committed patricide! Deciding that his future as Governor would be untenable, Denkar passed Governorship to his sister Arna and left Saling.<nl><nl>A couple years later, he found a large oasis in the Sahaar desert and used Tamani, a village there, as a base camp for exploration.<nl><nl>Returning from one of his trips, Denkar finds Tamani under attack by Dunetown troops. They have blocked the path to the village and so he must rally for help and fight his way through...	yes
briefings.13 eji	Eji is a mutant girl living in the village of Wakono. Her parents are unknown; Ganthu discovered her in the jungle as a child and was amazed that she had been able to survive alone among the creatures of the Plague. Later, it became apparent that Eji has remarkably strong psi talents for healing and empathy. Ganthu took her under his protection, and while watching her grow, he gradually became convinced that she is the Redeemer spoken of in ancient prophecy.	no
briefings.13 ganthu	Ganthu is the High Priest of the village of Wakono, well versed in the art of the mutants’ magic. He takes a special interest in collecting lore about the ancient past of the world. Some members of the Wakono tribe think that he spends too much time traveling and deciphering the inscriptions found in the ancient ruins and too little in solving the everyday problems of his tribe.	no
briefings.13 ragho	Ragho is one of Wakono shamans, adept with magic but hot-tempered and self-confident. He has been particularly vocal in his reproaches against Ganthu and has often argued with the High Priest. On several occasions, he has gone so far as to openly state that he would make a better leader than Ganthu.	no
briefings.13	After repelling the Dunetowners from Tamani, Denkar and some Tamani warriors hurried to Wakono, a nearby village, to warn them of attack, but before they had even left Tamani, Wakono’s xenolite-rich suburbs were already under fire.<nl><nl>The High Priest of Wakono, Ganthu, tries to defend his village, but Ragho has sent many warriors away on a ‘scouting’ mission. Ganthu must protect Eji, his apprentice. Her safety is of the utmost importance as Ganthu believes her to be the ‘Redeemer’ mentioned in an ancient prophecy.	yes
