sid	text
	
//// Mission 1.1	
	
11.incoming	Watch out! There are wild mutants here!
	
11.not harmless	It seems this place is not so harmless after all!
11.take troops	Denkar, take the troops and clear the way ahead, I will stay to protect the technicians.
	
11.keep moving	Good job, my son, keep moving.
	
11.we are coming	Okay, we’re coming. Make sure the way south is clear.
	
11.go south	Go south.
	
11.hang around	Good!  We’ll work here for a while. Denkar, you clear the way ahead!
	
11.under attack-11	Denkar! We’re under attack, it’s Varunians!
11.coming	Coming! Quick as I can. Hold on!
11.save yourself	No! They are too many! It is too late for me! Run! Save yourself! That’s an or...
11.nooo	Father! No!
	
11.avoid patrols	Be careful!  We want to get out of here alive? So we avoid the patrols!
	
11.another patrol	Another patrol! Look out!
	
11.obey warning	This is serious, Denkar! Show discipline or you’re going to endanger the expedition.
11.obey warning 2	Denkar, if you can’t take orders, I’m going to shut down this expedition.
11.disobey fail	That’s  enough! We’ll talk about this back in the city.
	
	
//// Mission 1.2	
	
12.under attack-12	The village is under attack! I’ve gotta help them!
	
12.road blocked	The Dunetowners have blocked the path. I can’t make it alone, I need to get help.
	
12.good start	Good start. But I’m gonna need more.
	
12.more help	Good. More support, but it’s still not enough.
	
12.got help	This is all I can get. Fingers crossed it’ll be enough!
	
12.still need help	I could use some help to break this blockade. I’ve got to get help.
	
12.break blockade	OK. Let’s give it our best shot! Clear the way!
	
12.village damaged	Everything’s on fire! Damn! Why do that!?
12.push	We have to take the remaining defenders and push the Dunetowners back.
	
	
//// Mission 1.3	
	
13.under attack-13	Master Ganthu, our xenolite is under attack! You must help the defenders!
13.take me there	Hurry, let’s go!
	
13.last of them	It appears that this was the last of them for now. We should try to drive them away! Hmm... their camp must be fortified.
	
13.diversion	Master Ganthu, it seems the rear of their camp is not defended. Maybe a skillful magic user can sneak in and create a diversion.
13.i will go	All right, I’ll go and try to confuse them.
	
13.kill him	This is him!
13.die freak	Die, mutant trash!
13.trap	Ragho! How could you stoop to treachery! Is ambition to be a chief more important than the tribe’s safety?
13.me traitor	We needed a crisis. It’s high time everybody sees  that we need a strong, decisive leader... not an old bookworm!
13.village endangered	The village could be in danger. Ragho may have been blinded, but I doubt the humans will hold to whatever agreement they made.
	
