style	text
firm	Black Sea Studios
whiteline	
default	
position	Project Management
default	Vesselin Handjiev
default	
position	Project Management Assistant
default	Tsvetan Tsvetanov
default	
position	Technical Director
default	Panayot Yanazov
default	
position	Art Director
default	Vesselin Efremov
default	
position	Lead Design
default	Vesselin “Frujin” Handjiev
default	
position	Lead Programmer
default	Panayot Yanazov
default	
position	Lead Artist
default	Vesselin Efremov
default	
position	Programming
default	Alexander Alexandrov<nl>Mikhail Balabanov<nl>Michael Peykov<nl>Mihail Moskov<nl>Oleg Zlatarski<nl>Panayot Yanazov<nl>Sergey Georgiev<nl>Tsvetan Tsvetanov
default	
position	Artwork
default	Stoyan Stoyanov<nl>Alexander Botev<nl>Dilyan Tonchev<nl>Todor Kolev<nl>Georgi Murdzhev<nl>Stoyan “Toma” Mollov<nl>Cvetoslav Gergov<nl>Plamen “Paco” Tamnev<nl>Veronika Chorbadjieva<nl>Nikolay Loukianov<nl>Nikolai Georgiev<nl>Ina Simova<nl>Sergey Samuilov
default	
dark	also
default	
default	Christo Christov<nl>Dimitar Rusev<nl>Nadia Petkova<nl>Rossen Manchev<nl>Kosta Atanasov<nl>Stoyan Seimenov<nl>Julian Panov
default	
position	Technical Artist
default	Stoyan “Toma” Mollov
default	
position	Sound Design
default	Vesselin Handjiev
default	
position	Sound Effects
default	Borislav Slavov<nl>Vesselin Handjiev
default	
position	Music
default	Borislav Slavov a.k.a. Glorian
default	Victor Stoyanov
default	
position	Voice Script
default	Mikhail Balabanov
default	
position	Game Design
default	Vesselin Handjiev<nl>Michael Peykov<nl>Alexander Alexandrov
default	
position	Single Player Story
default	Mikhail Balabanov
default	
position	Cooperative Missions Design
default	Vesselin Handjiev<nl>Michael Peykov<nl>Veronika Chorbadjieva<nl>Sergey Georgiev
default	
position	Level Design
default	Veronika Chorbadjieva<nl>Veselin Handjiev
default	
position	Map Scripting
default	Michael Peykov<nl>Sergey Georgiev
default	
position	Localization Manager
default	Mikhail Balabanov
default	
position	Game Manual
default	Mikhail Balabanov
default	
position	PR and Marketing
default	Ina Simova
default	Julia Krasteva
default	
position	Office Manager
default	Julia Krasteva
default	
firm	RTL Games GmbH
whiteline	
default	
position	Managing Director:
default	Holger Strecker
default	
position	Executive Producer
default	Gabriel Hacker
default	
position	Product Management
default	Andreas Balfanz<nl>André Bernhardt<nl>Nicole Glockmann<nl>Oliver Henneken<nl>Dieter Schoeller
default	
dark	Special Thanks to
