sid	text
	
// UNITS //////////////////////////////////////////////////////////////////////	
	
Assassin.name	Assassin
Assassin.descr	A long-range unit which is strongest at his maximum range. His shots have a chance to lower the target’s armor for several seconds.
AssaultBot.name	Assault Bot
AssaultBot.descr	Well-armored mechanical unit. Occasionally fires rockets that lower the attack effectiveness of the targeted enemies. Can launch long-range missile volleys.
Commander.name	Lord Commander
Commander.descr	The Lord Commander is heavily armored and has a proximity bonus. He can heal himself and attract enemy attacks.
Constructor.name	Constructor
Constructor.descr	A mechanical officer that can quickly repair machines during combat. His regular attack has a chance to hit and stun several enemies.
Crew.name	Technician
Crew.descr	The technicians automatically repair buildings when there are no enemies nearby.
Defender.name	Defender
Defender.descr	The first unit added via modding. Honor may be to DotNL and CrashDown963
EliteTrooper.name	Shock Trooper
EliteTrooper.descr	The Shock Troopers are elite troopers which act as a temporary reinforcement. They cannot be controlled directly.
Hellfire.name	Hellfire
Hellfire.descr	Slow but powerful ranged mechanical unit with strong armor and a shield. Can launch a strong close-range area attack.
Judge.name	Judge
Judge.descr	A tough officer which is effective against power-using enemies. Can promote Troopers to elite status and boost their attacks.
ProtonTurret.name	Proton Turret
ProtonTurret.descr	Defense turrets that can be added to a Control Tower.
RepairDrone.name	Repair Drone
Ripper.name	Ripper
Ripper.descr	A fast mechanical melee unit. Has a chance to stun the enemy when attacking.
Surgeon.name	Surgeon
Surgeon.descr	А specialist trained to heal organic units even while they fight. Although she is an otherwise weak fighter, her attack is very strong at point-blank range.
Technician.name	Technician
Technician.descr	Non-combat personnel trained to deal with all manner of devices and artifacts.
Trooper.name	Trooper
Trooper.descr	Relatively cheap and has a proximity bonus. Occasionally throws grenades while fighting. Can be promoted to elite to boost his critical hit chance.
Technician2.name	Engineer
Technician2.descr	Engineer capable of summoning Turret support.
	
AlienEgg.name	Egg
AlienEgg.descr	A biomechanical entity spawned by a Portal or a Breeder. Acts as a defense facility and releases hatchlings when destroyed.
Arbiter.name	Arbiter
Arbiter.descr	A long-range unit which is strongest at his maximum range. His shots have a chance to hit several targets at once. Can instill panic among his foes, causing them to flee chaotically.
Dominator.name	Dominator
Dominator.descr	A powerful crowd control unit capable of paralyzing enemies and draining their energy. His attacks completely ignore enemies’ armor.
Harvester.name	Harvester
Harvester.descr	A heavily armored melee unit that slows nearby organic enemies with the potential to stun them. He also can heal himself.
Hatchling.name	Hatchling
Hatchling.descr	A weaker, smaller version of the Trisat. Can attract enemy attacks.
Manipulator.name	Manipulator
Manipulator.descr	A healer whose regular attack steals life from targeted enemies and redirects it to nearby allies. Can spawn a healing vortex that heals random nearby allies for a time.
Master.name	Master
Master.descr	A powerful offensive and healing unit. Can steal life from the enemies and distribute it to nearby allies. Can also launch a strong area attack.
Overseer.field_name	Field Overseer
Overseer.power_name	Power Overseer
field_name.name	Field Overseer
power_name.name	Power Overseer
AttackDrone.name	Sentinel Droid
Overseer.descr	A good offensive unit. Has a special form that replenishes the power of nearby allies.
Shifter.name	Shifter
