sid	text
Are you ready	Ready?
Confirm	Roger!
Crowd control	Crowd control!
Damage	Damage, now!
Follow me	Follow me!
Go	Move!
Go back	Back!
Good game	Good game!
Heard	I hear you!
Hello	Hello!
Low power	No power!
Need healing	I need healing!
Need help	I need help!
No	No!
Oh dear	Oh dear!
Oh nooo	Oh, nooo!
Oops	Oops!
Owned	Owned!
Praise	Good job!
Seen enemy	Enemy sighted!
Seen worse	I’ve seen worse...
Sorry	Sorry!
Tank	Tank it!
Taunt	Taunt
Taunt Aliens	Taunt Cult
Taunt Humans	Taunt Humans
Taunt Mutants	Taunt Tribes
Thanks	Thanks!
That was close	That was close!
Wait	Wait!
Wait for me	Wait for me!
Yes	Yes!
