sid	text
	
// 11	
obj.Clear the way	Clear the way
obj.Eliminate the hostile creatures	Eliminate the hostile creatures
obj.Save Denkar	Save Denkar
obj.Avoid the patrols	Avoid the patrols
	
// 12	
obj.Get help	Get help
obj.Helpers:	Gathered reinforcements:
obj.Help the village	Reach the village
obj.Defenders alive:	Defenders alive:
obj.Clear the enemy camp	Clear the enemy camp
obj.Enemies left:	Enemies left:
	
// 13	
obj.Protect the xenolite	Protect the xenolite
obj.Defenders alive:	Defenders alive:
obj.Sneak in the camp	Sneak into the camp
obj.Return to the village	Return to the village
obj.Save Eji	Save Eji
obj.Village defenders alive	Village defenders alive:
obj.Escape the village	Escape the village
	
// 14	
obj.Enter the camp	Enter the camp
obj.Find escape vehicle	Find an escape vehicle
obj.Eliminate the mine defenders	Eliminate the mine’s guards
	
// 15	
obj.Approach Saling	Approach Saling
obj.Find your way to Saling	Find your way to Saling
obj.Make your way past the camp	Make your way past the camp
obj.Defeat the Salingian Commander	Defeat the Salingian Commander
obj.Continue to Saling	Continue to Saling
obj.Avoid the fire bursts	Avoid the fire bursts
	
// 16	
obj.Enter the base	Enter the base
obj.Remove the guards from the road	Get the guards out of the way
obj.Sneak through the base	Sneak through the base
obj.Reach the service entrance	Reach the service entrance
	
// 21	
obj.Protect the village	Protect the village
obj.Defenders alive:	Defenders alive:
obj.Protect the lab	Protect the lab
obj.Turrets left:	Turrets left:
obj.Defeat The Hive	Defeat the aliens
obj.Master killed:	Master killed:
obj.no	no
obj.YES	YES
obj.Breeder destroyed:	Breeder destroyed:
	
// 22	
obj.Reach Onkar's place of death	Reach Onkar’s place of death
obj.Take the diary	Retrieve Onkar’s diary
obj.Reach the extraction point	Reach the extraction point
	
// 23	
obj.Scout the area	Scout the area
obj.Follow the path	Follow the path
obj.Protect the technicians	Protect the technicians
obj.Technicians alive	Тechnicians alive:
obj.Examine the ancient device	Examine the ancient device
obj.Activate the power generator	Activate the power generator
obj.Find another ancient device	Find another ancient device
obj.Examine the ruins	Examine the ruins
obj.Return to the first site	Return to the first site
obj.Find power	Find power
obj.Find the ancient power source	Find the ancient power source
obj.Reach the extraction point	Reach the extraction point
	
// 24	
obj.Help the mutants	Help the mutants
obj.Help the village defenders	Help the village defenders
obj.Kill the Big One	Kill the Big One
obj.Explore the area ahead	Explore the area ahead
obj.Search the area ahead	Search the area ahead
	
// 25	
obj.Find Esperanza gates	Find Esperanza’s gates
obj.Enter Esperanza	Enter Esperanza
obj.Disable the gate forcefield	Disable the gate’s forcefield
obj.Protect the entrance	Protect the entrance
	
// 26	
obj.Open the gates	Open the gates
obj.Eliminate the aliens	Eliminate the aliens
obj.Find the ancient device	Find the source of the signal
	
// 31	
obj.Find Tharksh's ship	Find Tharksh’s ship
obj.Protect the Psi Resonator	Protect the Psi Resonator
obj.Defeat the enemy Master	Defeat the enemy Master
	
// 32	
obj.Locate the enemy base	Locate the enemy camp
obj.Destroy the enemy base	Destroy the enemy camp
obj.Protect the ship	Protect the ship
obj.Ship hull:	Ship hull:
