sid	text
		
//// Mission 13 supplement		
obj.Return to the village	Hurry back to the village
obj.Go north with Eji	Go north with Eji
obj.Use the passage to the southeast	Use the passage to the southeast
		
//// Mission 35 supplement		
obj.Sneak to the teleporter controls	Sneak to the teleporter controls
		
//// BSA supplement		
obj.Defeat the Reptile	Defeat the Reptile
		
//// Corrupted Fields		
obj.Save your leaders	Save your leaders
obj.Defeat your leaders	Defeat your leaders
obj.Defeat the evil priest	Defeat the evil priest
obj.Explore the Corrupted Fields	Explore the Corrupted Fields
		
//// Renegades’ Hideout		
obj.Defeat Erkh Arul	Defeat Erkh Arul
obj.Defeat Zul'Thark	Defeat Zul’Thark
obj.Investigate the renegades hideout	Investigate the renegades’ hideout
		
//// Bridges of Trial
obj.Reach Lan Zealot	Reach Lan Zealot
obj.Defeat Lan Zealot	Defeat Lan Zealot
obj.Defeat the monster	Defeat the monster
