sid	text
	
//// Common labels	
ok	OK
cancel	CANCEL
yes	YES
no	NO
error	ERROR
	
//// Entrance screen	
text_current_profile	CURRENT PROFILE:
text_current_profile_gs	CURRENT PROFILE (GameSpy ID):
enter game	ENTER GAME
entering lobby	Entering lobby...
change profile	CHANGE PROFILE
replay intro	REPLAY INTRO
credits	CREDITS
exit to desktop	EXIT TO DESKTOP
incorrect password	The provided password is incorrect.
gamespy_ttl	GameSpy
gslegal_text	This product contains software technology licensed from GameSpy Industries, Inc. © 1999-2008 GameSpy Industries, Inc. GameSpy and the “Powered By GameSpy” design are trademarks of GameSpy Industries, Inc. All rights reserved.
	
//// Profiles window	
profiles	Profiles
selected profiles	Select one of the existing profiles or create a new one.
local account	Local Profile
gamespy id account	GameSpy ID Profile
new	New
del	Del
delete account ttl	Delete Profile
delete account	Delete the profile from GameSpy as well?
enter password:	Enter password:
	
//// New Profile window	
create account	Create profile
name	Name
psw	Password
email	E-mail
no profile	There is no profile to delete!
	
//// Main screen	
missions	MISSIONS
special locations btn	SPECIAL<nl>LOCATIONS
pvp	DEATHMATCH
skirmish	SKIRMISH
practice	PRACTICE
abilities btn	ABILITY GRID
chat settings	CHAT SETTINGS
settings	SETTINGS
exit	EXIT
exiting	EXITING...
text_no_sp_locations	You have not yet discovered any special locations.
	
//// Missions window	
clicktoviewinfo	Select a mission on the left<nl>for more details.
locked_mission	This mission is still locked.
completed	COMPLETED
fastest time	FASTEST TIME: [#]h [#]m [#]s
rewards:	REWARDS:
replay	REPLAY
	
//// Game List window	
all locations	ALL LOCATIONS
all	ALL
big	BIG
small	SMALL
ping	PING
quick join	QUICK JOIN
join	JOIN
error joining	ERROR IN JOINING
create	CREATE
special locations	SPECIAL LOCATIONS
open special location games	OPEN SPECIAL LOCATION GAMES
open practice games	OPEN PRACTICE GAMES
err_onlysingle	YOU CAN PLAY THIS LOCATION ONLY IN SINGLE-PLAYER MODE
err_toobigteam	YOUR TEAM IS TOO BIG TO PLAY THIS LOCATION
auto_findgame	TRYING TO FIND GAME ...
auto_findteam	TRYING TO FIND TEAM ...
the game is full	The game is full.
	
//// Active Game window	
special location	SPECIAL LOCATION
pvp_title	Deathmatch
arr_team	Arranged Team
random_player	Random player
random	Random
team	Team
pvp_help	<color=255, 143, 51><b>Deathmatch options</></><nl><nl>In a deathmatch game, you play against unknown opponents and win artifacts as awards.<nl>Select 1v1, 2v2, or 3v3 to set team size.<nl>Toggle between Team and Random to determine your team’s type.<nl>Select ‘Team’ to invite particular player(s), or ‘Random’ to play in a random team.<nl>The members of a random team are selected after you click the Start button.<nl>The automatch will select an opposing team of the same type (arranged or random).
hard ai	Strong AI
easy ai	Weak AI
s game	[#]’s game
s game: 	[#]’s game: 
s line up	[#]’s line up
1v1	1v1
2v2	2v2
3v3	3v3
<closed>	<closed>
<open>	<open>
leave	LEAVE
start	START
	
//// Chat settings window	
friends list	FRIENDS LIST
ignore list	IGNORE LIST
chat_tab	CHANNELS
standart channels	STANDARD CHANNELS
default	Default
default channel	Default channel
general	General
virtual channels	VIRTUAL CHANNELS
tells	Tells
created game lobby	Created Game Lobby
user channels	USER CHANNELS
text_unassigned	<unassigned>
sl_invalidchannelname	Invalid channel name, only Latin letters are allowed, with no spaces!
text_chatviewsetup_title	USER CHAT VIEW #[#]
shorcut_assign	Press the shortcut letter you want to assign to channel ‘[#]’, press Space or Enter to erase the letter which has already been assigned, or press Escape to cancel.
chat views:	CHAT VIEWS:
help_chatsetup	Click on the view icons below to select which channels you want to see in each view.
clicktosetupchanel	Select channels you want to see in your chat view number ‘[#]’.
find	Find
game	Game
F_riend	F
I_gnored	I
addtofriends	Add to friends
invitetoteam	Invite to team
inviteasopponent	Invite as opponent
viewinfo	View info
ignore	Ignore
	
//// Other chat-related texts	
from	From
to	To
text_user_join_game	<i><color=180,180,180>Player ‘[#]’ has joined the game.</></>
text_user_left_game	<i><color=180,180,180>Player ‘[#]’ has left the game.</></>
text_user_rename	<i><color=180,180,180>Player ‘[#]’ has changed nick to: ‘[#]’</></>
	
//// Game invitation texts	
invite player:	Invite player:
text_type_player_name	<type name here>
accept	Accept
decline	Decline
invitation_ttl	Invitation
invitation_msg	The player ‘[#]’ invites you to join their game.
invitation_accepted	The player ‘[#]’ has accepted your invitation.
invitation_declined	The player ‘[#]’ has declined your invitation.
invitation_invalid	The invitation from ‘[#]’ is no longer valid.
invitation_sent	You have sent an invitation to player ‘[#]’.
sl_invitationcanceled	Your invitation has been cancelled.
sl_invitationtimedout	Your invitation has timed out.
sl_invitationnotfound	You have no invitation from that player.
sl_invitationrejected	Your invitation has been rejected.
	
//// Automatch-related texts	
automatcherr_playerleft	The player ‘[#]’ has cancelled the automatch attempt.
autojoinerr_timedout	The joining attempt timed out.
autojoinerr_noplayers	The automatch attempt was cancelled because some of the players did not show.
	
//// GameSpy error messages	
gs_accountalreadycreated	You’ve already created this account.
gs_deleteaccount	Error deleting account. Either your password is not correct, or this is your last profile on your account.
gs_incorrectpassword	The password you typed is incorrect.
gs_invalidemail	The provided email is invalid.
gs_invalidnick	The provided player name is invalid, as you can use only letters (without blanks).
gs_invalidparams	Invalid Parameters.
gs_invalidpassword	The password you typed is invalid.
gs_login	Error trying to login.
gs_loginincorrect	The provided login info is incorrect.
gs_nickalreadyused	The selected player name is already taken.
gs_persistisinprogess	Persisting player’s data is in progress.
gs_persistloaderr	Error loading player’s profile.
