sid	text	text:de
		
version conflict	VERSION CONFLICT	
differs from the server	Local version differs from the server.	
		
		
//// Victory/Defeat screen		
stats_caps	STATISTICS	
items_taken_caps	ITEMS TAKEN	
chs_rewards_caps	CHOOSE YOUR REWARDS	
chs_reward_caps	CHOOSE YOUR REWARD	
mis_complete_caps	MISSION COMPLETE	
mis_failed_caps	MISSION FAILED	
battle_points	battle points	
drag_txt	Drag any items you wish to keep to your inventory.	
battle_pts_tt_title	Battle Points	
battle_pts_tt_text	You gain battle points as a reward for participating in Deathmatch or Skirmish battles. Winning nets you more points. Spend battle points to purchase items.<nl><nl>The total amount of your battle points is displayed here.	
shards_tt_title	Xenoshards	
shards_tt_text	There is a chance to extract a xenoshard from each item obtained in-game. Rarer items have a greater chance to yield a xenoshard.<nl><nl>The number of shards you got this game is displayed here.	
chng_off_btn	Change Offer	
skip_btn	Skip	
buy_btn	Purchase	
items_shop	SHOP FOR ITEMS	
get_off_btn	Get Offer	
lost_off_txt	Listing items for purchase is free if you win, but costs battle points if you lose.	
no_bpoints	Not enough battle points.	
no_bpoints_ttl	Purchase Failed	
buyfailed_ttl	Purchase Failed	
buyfailed	Not enough battle points or no available item slots.	
inactive_spec	Inactive	
chg_off_btn	Reroll	
close_caps	CLOSE	
continue_caps	CONTINUE	
observe_caps	OBSERVE	
stats_btn_caps	STATS	
alert	Alert	
vic_close_items	There are still items in the temporary repository. Are you sure you want to continue?	
		
		
//// Lobby		
prac_caps	PRACTICE	
pvp_caps	DEATHMATCH	
locations	LOCATIONS	
chat btn lobby	CHAT	
		
		
//// Settings		
effects_all	All	
effects_med	Medium	
effects_low	Low	
effects_scale	Effects	
		
		
//// CD Key screen		
cdkey_invalidkey	INVALID CD KEY!	
validate	VALIDATE	
enter cdkey	Enter CD KEY:	
gs_invalidcdkey	The provided CD Key is not valid. The error message is: ‘[#]’.	
gs_disconnect	You have been disconnected from the online service. The error message is: ‘[#]’.	
		
		
//// Login		
GSStatus_GetProfiles	Getting GameSpy profiles	
GSStatus_CreateProfile	Creating GameSpy profile	
lan	LAN	
internet	INTERNET	
		
net_login	WorldShift Login	
net_enter_player_name	WorldShift player name	
net_enter_password	Password	
net_newplayer	NEW PLAYER	
