style	text
firm	Black Sea Studios
whiteline	
default	
position	Dirección del proyecto
default	Vesselin Handjiev
default	
position	Asistente de dirección
default	Tsvetan Tsvetanov
default	
position	Dirección técnica
default	Panayot Yanazov
default	
position	Director de arte
default	Vesselin Efremov
default	
position	Diseñador jefe
default	Vesselin “Frujin” Handjiev
default	
position	Programador jefe
default	Panayot Yanazov
default	
position	Jefe de arte
default	Vesselin Efremov
default	
position	Programación
default	Alexander Alexandrov<nl>Mikhail Balabanov<nl>Michael Peykov<nl>Mihail Moskov<nl>Oleg Zlatarski<nl>Panayot Yanazov<nl>Sergey Georgiev<nl>Tsvetan Tsvetanov
default	
position	Arte
default	Stoyan Stoyanov<nl>Alexander Botev<nl>Dilyan Tonchev<nl>Todor Kolev<nl>Georgi Murdzhev<nl>Stoyan “Toma” Mollov<nl>Cvetoslav Gergov<nl>Plamen “Paco” Tamnev<nl>Veronika Chorbadjieva<nl>Nikolay Loukianov<nl>Nikolai Georgiev<nl>Ina Simova<nl>Sergey Samuilov
default	
dark	y también
default	
default	Christo Christov<nl>Dimitar Rusev<nl>Nadia Petkova<nl>Rossen Manchev<nl>Kosta Atanasov<nl>Stoyan Seimenov<nl>Julian Panov
default	
position	Artista técnico
default	Stoyan “Toma” Mollov
default	
position	Diseño sonoro
default	Vesselin Handjiev
default	
position	Efectos especiales
default	Borislav Slavov<nl>Vesselin Handjiev
default	
position	Música
default	Borislav Slavov a.k.a. Glorian
default	Victor Stoyanov
default	
position	Diálogos
default	Mikhail Balabanov
default	
position	Diseño de juego
default	Vesselin Handjiev<nl>Michael Peykov<nl>Alexander Alexandrov
default	
position	Guion de la campaña
default	Mikhail Balabanov
default	
position	Diseño de misiones cooperativas
default	Vesselin Handjiev<nl>Michael Peykov<nl>Veronika Chorbadjieva<nl>Sergey Georgiev
default	
position	Diseño de niveles
default	Veronika Chorbadjieva<nl>Veselin Handjiev
default	
position	Scripts de los mapas
default	Michael Peykov<nl>Sergey Georgiev
default	
position	Responsable de localización
default	Mikhail Balabanov
default	
position	Marketing y RR.PP.
default	Ina Simova
default	Julia Krasteva
default	
position	Responsable de oficina
default	Julia Krasteva
default	
firm	Keyfactor
whiteline	
default	
position	Ejecutivo de RR.PP.
default	Sabine Kaiser
default	
position	Responsable de RR.PP.
default	Jens Friedrich
default	
position	Productor ejecutivo
default	Frank Fay
default	
position	Productor
default	Alexander Köhler
default	
position	Asistente de producción
default	Markus Michel
default	
position	Responsable de QA
default	Alwin Mangundirjo
default	
position	Jefe de QA
