sid	text

ConfuseAction.spell.effect.effect2.name	Confusión
ConfuseAction.spell.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Esta unidad está bajo la amenaza de un Lord Commander y no puede atacar a otros enemigos.

AncientSmith.abilities.ConfuseAbi.effect.effect.name	Confusión
AncientSmith.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>La armadura de Ancient Smith es potenciada durante una maniobra de Confusión.
AncientSmith.abilities.ConfuseAbi.effect.effect2.name	Confusión
AncientSmith.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Esta unidad está bajo la amenaza de un Ancient Smith y no puede atacar a otros enemigos.

AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	Confusión
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>La armadura de Ancient Smith es potenciada durante una maniobra de Confusión.
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.name	Confusión
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Esta unidad está bajo la amenaza de un Ancient Smith y no puede atacar a otros enemigos.

AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	Confusión
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>La armadura de Ancient Smith es potenciada durante una maniobra de Confusión.
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.name	Confusión
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Esta unidad está bajo la amenaza de un Ancient Smith y no puede atacar a otros enemigos.

AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	Confusión
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>La armadura de Ancient Smith es potenciada durante una maniobra de Confusión.
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.name	Confusión
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Esta unidad está bajo la amenaza de un Ancient Smith y no puede atacar a otros enemigos.

QueenProtector.abilities.Taunt.effect.effect.name	Sanación
QueenProtector.abilities.Taunt.effect.effect.text	<color=245, 81, 51>T.COM: Healing</><nl>Queen está siendo curada por un Queen Protector.
QueenProtector.abilities.Taunt.effect.effect2.name	Confusión
QueenProtector.abilities.Taunt.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Esta unidad está bajo la amenaza de un Queen Protector y no puede atacar a otros enemigos.

BridgeTrooper.abilities.Inject.effect.name	Inyección revitalizante
BridgeTrooper.abilities.Inject.effect.text	<color=245, 81, 51>T.COM: Inject</><nl>La salud del Trooper se está regenerando gracias a las propiedades curativas de una Inyección revitalizante.
