sid	text
briefings.12	Après la mort d’Onkar, la rumeur courut que Denkar avait commis un parricide. Comprenant qu’aucun avenir n’était possible pour lui au poste de gouverneur, Denkar transmit cette charge à sa sœur Arna et quitta Saling.<nl><nl>Environ deux ans plus tard, Denkar trouva une grande oasis dans le désert de Sahaar et utilisa le village de Tamani comme camp de base pour ses explorations.<nl><nl>En revenant de l’un de ses voyages, Denkar découvre que le village de Tamani est attaqué par les troupes de Dunetown. L’ennemi a bloqué l’accès au village et Denkar doit trouver de l’aide et combattre pour passer...
briefings.12 cities	À l’heure actuelle, les humains non modifiés par le Fléau vivent dans cinq mégalopoles indépendantes : Dunetown, dans le désert de Sahaar ; Saling, dans l’ancienne Chine ; Varun, dans ce qui fut jadis l’océan indien ; Jurra, dans les jungles marécageuses de l’ancienne Sibérie ; et Fort Frost, dans les plaines glacées de l’Amérique du Nord.<nl><nl>Les mégacités sont d’immenses tours protégées du Fléau par de puissants boucliers de force alimentés grâce à la xénolite. Les humains envoient régulièrement de petites expéditions dans des régions reculées afin d’extraire de la xénolite et d’autres ressources. Ceci aboutit souvent à des escarmouches avec les tribus de mutants.
briefings.12 denkar	Denkar ni’Varra est le fils de l’ancien gouverneur de Saling, Onkar ni’Varra. En tant que l’un des Seigneurs commandants de Saling, Denkar était responsable de la sécurité des expéditions scientifiques de son père.<nl><nl>Après la désastreuse sortie dont Denkar fut le seul survivant et qui fit de lui le successeur légitime de son père au poste de gouverneur, il revint à Saling pour découvrir qu’il n’était plus capable de regarder les gens dans les yeux. Personne n’osait venir lui parler mais le mot ‘parricide’ était dans tous les esprits.<nl><nl>Guidé par son strict respect du code de l’honneur militaire, Denkar estima que son échec et toutes ces suspicions l’empêchaient de prétendre à gouverner la ville. Il décida de démissionner de son poste pour le confier à sa sœur Arna avant de fuir dans un exil qu’il s’imposa à lui-même.
briefings.12 onkar	Onkar ni’Varra était gouverneur de la cité de Saling. Souverain éclairé en comparaison de la plupart de ses prédécesseurs, il nourrissait une passion pour l’histoire et les coutumes des mutants et prit même souvent part à des expéditions d’exploration.<nl><nl>Onkar fut tué par les troupes varuniennes alors qu’il étudiait d’anciennes ruines près de la frontière qui sépare les zones d’influence de Saling et de Varun. Son fils Denkar participait également à l’expédition et en fut le seul survivant.
briefings.12 saling	Saling est l’une des cinq mégacités humaines. Elle est située dans l’ancienne Chine. Le Fléau a transformé les terres qui l’entourent en un désert brûlant.<nl><nl>Dans la culture de Saling, le concept d’honneur joue un rôle très important, qu’il s’agisse d’affaires militaires ou civiles.<nl><nl>La noblesse de la ville ajoute la particule ‘ni’ aux noms de famille. Actuellement, la charge du poste de gouverneur de Saling incombe à la famille ni’Varra.
briefings.12 tamani	Tamani est une colonie mutante associée à plusieurs autres villages et située dans une grande oasis du désert de Sahaar.<nl><nl>Seul Denkar lui-même sait comment il a fait pour survivre après plusieurs années passées dans les terres désertiques où ses voyages l’ont mené, mais récemment, il s’est installé à Tamani et a entamé une relation avec une mutante de la région.<nl><nl>Comme Denkar participait à de nombreux voyages d’exploration dans le Sahaar, il était absent au moment où les forces de Dunetown ont attaqué Tamani.
briefings.13	Après avoir repoussé de Tamani les forces de Dunetown, Denkar s’est précipité au village voisin de Wakono accompagné de guerriers de Tamani afin de prévenir ses habitants de l’attaque. Mais avant qu’ils ne s’échappent, les environs de Wakono riches en xénolite étaient déjà attaqués.<nl><nl>Le Grand prêtre de Wakono, Ganthu, tente de défendre son village mais Ragho a envoyé de nombreux guerriers dans une ’mission de reconnaissance’. Ganthu doit protéger Eji. Sa sécurité prime sur tout le reste car Ganthu estime qu’elle est la rédemptrice mentionnée dans une très vieille prophétie.
briefings.13 eji	Eji est une mutante vivant dans le village de Wakono. On ne connaît pas ses parents. Ganthu la découvrit dans la jungle alors qu’elle n’était qu’une enfant et il fut stupéfié qu’elle ait pu survivre seule parmi les créatures du Fléau. Plus tard, il devint évident qu’Eji possédait des pouvoirs psychiques d’une force remarquable lui permettant de soigner et d’éprouver une grande compassion. Ganthu la prit sous sa protection et, la voyant grandir, il fut de plus en plus persuadé qu’elle était la rédemptrice d’une très vieille prophétie.
briefings.13 ganthu	Ganthu est le Grand prêtre du village de Wakono. Il est très expérimenté dans les arts de la magie mutante et nourrit un intérêt particulier pour la collecte d’informations relatives aux anciennes coutumes du passé du monde. Certains membres de la tribu Wakono estiment qu’il a passé plus de temps à voyager et à déchiffrer les inscriptions trouvées dans les anciennes ruines au lieu de résoudre les problèmes de la vie quotidienne de la tribu.
briefings.13 ragho	Ragho est l’un des chamans de Wakono. C’est un bon magicien mais il a un caractère ombrageux et fait preuve de trop de suffisance. Il a exprimé beaucoup de reproches à l’égard de Ganthu et s’est souvent disputé avec le Grand prêtre. En plusieurs occasions, il a clairement laissé entendre qu’il pensait pouvoir faire un meilleur chef que Ganthu.
briefings.14	Denkar et les guerriers qui l’accompagnent ont rencontré Ganthu et Eji à l’extérieur de Wakono pour apprendre que leur aide arrivait trop tard. Après avoir évalué la situation, ils ont décidé de se rendre à Saling ensemble pour trouver des informations dans les archives d’Onkar. Les guerriers de Tamani ont déclaré vouloir se venger des attaques de Dunetown contre leur village et après avoir effectué une reconnaissance, il apparaît possible de mener à bien ces deux objectifs.<nl><nl>Le plan : infiltrer la base de Dunetown dans le désert avec quelques troupes tribales, donner une bonne leçon au Seigneur commandant pour avoir harcelé les villages locaux et voler un vaisseau pour rallier Saling... simple !
briefings.14 allies	Ganthu comme Denkar furent assez surpris quand ils se rencontrèrent : un Seigneur commandant humain vivant dans un village mutant et ayant combattu aux côtés des tribus et un Grand prêtre qui venait d’abandonner son poste de chef et sa propre tribu. Mais la conversation qui s’en suivit aboutit à un résultat plus surprenant encore.<nl><nl>Ganthu fut fasciné lorsqu’il apprit que le père de Denkar avait mené des recherches sur les légendes anciennes et que Denkar lui-même semblait intéressé par le sujet. Peut-être étaient-ce les connaissances acquises par Denkar dans ses voyages, ou son désir de revoir sa patrie et sa sœur, et peut-être la présence psychique d’Eji y avait contribué également mais, au final, Denkar décida d’aider Ganthu à guider la rédemptrice vers l’accomplissement de son destin. Pour commencer, ils décidèrent de se rendre à Saling pour consulter la bibliothèque d’Onkar afin d’y étudier tout ce qui pouvait avoir un lien avec la prophétie de la rédemptrice.
briefings.14 ming_base	Il semble que le Seigneur commandant de Dunetown mène d’importantes opérations minières dans le désert aux environs de l’oasis. Sa base est derrière les raids engagés sur les colonies des tribus. Il est tout à fait inhabituel qu’une expédition minière humaine entretienne des installations d’une telle taille, particulièrement pour une si longue période.<nl><nl>Les éclaireurs des tribus ont rapporté qu’un transporteur personnel se trouvant dans le camp minier est prêt à décoller à tout moment. Denkar, Ganthu et Eji peuvent s’en emparer pour rallier Saling.
