sid	text:fr
	
//// Mission 1.1	
	
11.incoming	Attention ! Il y a des mutants sauvages ici !
	
11.not harmless	Cet endroit ne me dit rien qui vaille.
11.take troops	Denkar, fais un peu de nettoyage en avançant avec les troupes. Je reste pour protéger les techniciens.
	
11.keep moving	Bon travail, mon fils. Continue comme ça.
	
11.we are coming	Ok, on arrive. Sécurisez la route sud.
	
11.go south	Prenez au sud à partir de maintenant.
	
11.hang around	Super ! On va rester bosser ici un moment. Denkar, pendant ce temps-là, il faut nettoyer devant.
	
11.under attack-11	Denkar ! Les troupes de Varun nous attaquent !
11.coming	J’arrive immédiatement, tenez bon !
11.save yourself	Non ! Ils sont trop nombreux ! Trop tard pour moi ! Fuyez et sauvez votre peau, c’est un or...
11.nooo	Père ! Non !
	
11.avoid patrols	Attention ! Si on veut sortir d’ici vivant, mieux vaut éviter les patrouilles.
	
11.another patrol	Une autre patrouille, attention !
	
11.obey warning	C’est sérieux, Denkar ! Un peu de discipline ou l’expédition sera en danger.
11.obey warning 2	Denkar, si tu n’obéis pas aux ordres, j’arrête cette expédition.
11.disobey fail	Ça suffit ! On reparlera de ça une fois de retour en ville.
	
	
//// Mission 1.2	
	
12.under attack-12	On attaque le village ! Je dois les aider !
	
12.road blocked	Les habitants de Dunetown ont bloqué le chemin. Je n’y arriverai pas tout seul, il me faut de l’aide.
	
12.good start	Bon début. Mais je crois bien qu’il va me falloir de l’aide.
	
12.more help	De l’aide, c’est bien. Mais pas suffisant.
	
12.got help	Impossible d’obtenir plus d’aide. Espérons que ça suffira.
	
12.still need help	Je pourrais essayer d’obtenir plus d’aide avant de tenter de forcer le blocage.
	
12.break blockade	Alors essayons de dégager la voie !
	
12.village damaged	Tout est en flammes ! Pourquoi ont-ils fait ça !?
12.push	Il faut éliminer les dernières défenses et repousser les habitants de Dunetown.
	
	
//// Mission 1.3	
	
13.under attack-13	Maître Ganthu, notre xénolite est attaquée ! Vous devez aider les défenseurs !
13.take me there	Vite, allons-y !
	
13.last of them	On dirait que c’était le dernier. On devrait essayer de les chasser mais leur camp est sûrement fortifié.
	
