sid	text:fr
	
// UNITS //////////////////////////////////////////////////////////////////////	
	
Assassin.name	Assassin
Assassin.descr	Unité à longue portée, plus forte à distance maximum. Ses tirs lui permettent d’affaiblir l’armure de l’ennemi pendant plusieurs secondes.
AssaultBot.name	Robot d’assaut
AssaultBot.descr	Unité mécanisée à armure résistante. Peut tirer des fusées qui réduisent l’efficacité de l’attaque des ennemis touchés. Peut tirer des volées de missiles à longue portée.
Commander.name	Seigneur commandant
Commander.descr	Le Seigneur commandant dispose d’une lourde armure et d’un bonus de proximité. Il peut se soigner et attirer les attaques ennemies sur lui.
Constructor.name	Mécanicien
Constructor.descr	Officier mécanisé capable de réparer rapidement les machines au combat. Son attaque de base peut toucher plusieurs ennemis pour les paralyser.
Crew.name	Technicien
Crew.descr	Les techniciens réparent automatiquement les bâtiments lorsqu’il n’y a pas d’ennemi dans les environs.
EliteTrooper.name	Soldat de choc
EliteTrooper.descr	Les soldats de choc sont des troupes d’élite intervenant en renfort temporaire. Ils ne peuvent pas se contrôler directement.
Hellfire.name	Feu de l’enfer
Hellfire.descr	Unité mécanisée lente et puissante avec lourde armure et bouclier. Peut déclencher de grosses attaques à courte portée.
Judge.name	Juge
Judge.descr	Solide officier, efficace contre les ennemis qui usent l’énergie. Capable d’améliorer les attaques des soldats et de les promouvoir au statut Élite.
ProtonTurret.name	Tourelle Proton
ProtonTurret.descr	Tourelles de défense que l’on peut ajouter aux tours de contrôle.
RepairDrone.name	Drone de réparation
Ripper.name	Ripper
Ripper.descr	Unité de mêlée mécanisée et rapide. Peut paralyser l’ennemi quand elle attaque.
Surgeon.name	Chirurgien
Surgeon.descr	Spécialiste formé pour soigner les unités organiques même lorsqu’elles sont au combat. Autrement, c’est un faible combattant, son attaque est très puissante à bout portant.
Technician.name	Technicien
Technician.descr	Personnel non combattant formé pour s’occuper de tous les types de dispositifs et d’artéfacts.
Trooper.name	Soldat
Trooper.descr	Relativement peu onéreux, il offre un bonus de proximité. Tire occasionnellement des grenades lorsqu’il combat. Peut être promu au rang Élite pour augmenter ses chances de coup critique.
	
AlienEgg.name	Œuf
AlienEgg.descr	Entité biomécanique générée par un portail ou une formatrice. Sert de système de défense et libère des éclosions une fois détruit.
Arbiter.name	Médiateur
Arbiter.descr	Unité à longue portée, plus forte à distance maximum. Ses tirs peuvent toucher plusieurs cibles en même temps. Peut déclencher la panique chez l’ennemi et le pousser à courir dans tous les sens.
Dominator.name	Dominateur
Dominator.descr	Puissante unité de contrôle de foule capable de paralyser l’ennemi et d’épuiser son énergie. Ses attaques ne sont pas du tout entravées par l’armure ennemie.
Harvester.name	Moissonneur
Harvester.descr	Unité de mêlée à armure lourde qui ralentit les ennemis organiques proches et peut les paralyser. Également capable de se soigner tout seul.
Hatchling.name	Éclosion
Hatchling.descr	Version plus petite et plus faible du trisat. Peut attirer les attaques ennemies.
Manipulator.name	Manipulateur
