sid	text:fr
	
//// Units	
HowlingHorror.descr	Unité de mêlée des enfers lente et puissante. Dotée d’une faculté défensive qui lui permet de se soigner.
	
//// Objects	
Xenolite.descr	Vous pouvez construire un bâtiment sur ce dépôt de xénolite afin d’augmenter vos rentrées de ressources.
	
//// Abilities	
ControlTower.descr	La tour de contrôle extrait de la xénolite. Elle est dotée de défenses et peut être améliorée avec des tourelles et un détecteur de mouvement. Peut servir à commander des unités.
OreExtractor.descr	L’extracteur de minerai exploite les mines de xénolite et sert de système de défense. Il peut s’améliorer en tour de contrôle.
	
Temple.descr	Le temple exploite l’énergie de la xénolite. Il attaque aussi les ennemis proches et redistribue points de vie et puissance aux alliés proches. Vous pouvez l’utiliser pour commander des unités ou invoquer des travailleurs.
Shrine.descr	Le tombeau exploite l’énergie de la xénolite. Il peut aussi soigner les alliés proches. Vous pouvez l’utiliser pour invoquer des travailleurs. Le tombeau peut s’améliorer en temple.
	
Portal.descr	Le portail consomme de la xénolite. Il génère aussi des œufs et exerce une influence négative sur les ennemis proches. Vous pouvez utiliser le portail pour commander des unités et construire des formatrices à distance.
Breeder.descr	La formatrice consomme de la xénolite et génère des œufs. Vous pouvez l’utiliser pour commander des unités de second rang (trisats et tritechs). La formatrice peut s’améliorer en portail.
	
ControlTower.abilities.LargeCrew.text	Si aucun ennemi n’est présent près de la tour de contrôle, son équipe de maintenance composée de trois techniciens sort pour réparer les dégâts subis par le bâtiment. Si les dégâts dépassent 75%, un technicien supplémentaire est ajouté à l’équipe.
	
OreExtractor.abilities.SmallCrew.text	Si l’extracteur de minerai est endommagé et qu’aucun ennemi n’est dans les parages, deux techniciens arrivent pour réparer les dégâts.
	
Temple.abilities.DarkWindAbi.text	Quand des troupes hostiles approchent du temple, de sombres nuages se rassemblent au-dessus et la foudre commence à tomber sur les assaillants. Chaque coup de foudre inflige [stat:dark_wind_damage] points de dégâts.
Temple.abilities.FireLashAbi.text	L’amélioration Fouet de feu fait passer les dégâts infligés par les éclairs de foudre du temple à [stat:fire_lash_damage]. Les éclairs créent aussi des points de fonte au sol qui infligent [stat:fire_lash_area_damage] points de dégâts par intervalle à toute unité qui se trouve dessus.
	
Worker.abilities.RepairAbi.name	Réparation de bâtiment
Worker.abilities.RepairAbi.text	Le travailleur peut réparer les bâtiments endommagés.
Worker.abilities.BuildAbi.name	Construire un tombeau
Worker.abilities.BuildAbi.text	Le travailleur peut construire un nouveau tombeau sur un dépôt de xénolite libre.
	
MindVisionAction.descr	Dirige les énergies de la nature dans le secteur sélectionné, ce qui permet de le rendre visible pendant plusieurs secondes.
	
DischargeAbi.text	L’attaque du juge a [stat:discharge_chance]% de chances de supprimer [burned_power] points de puissance à sa cible et de les transformer en dégâts.
	
//// Actions	
HowlAction.descr	Provoque la peur chez tous les ennemis proches pendant [stat:howl_fear_duration] secondes et passe en position défensive pendant [stat:howl_duration] secondes. Dans cette position, l’horreur se soigne en récupérant [stat:howl_hp_perc]% de points de vie par intervalle et ignore [stat:howl_ignore_perc]% de tous les dégâts qu’on lui inflige.
Reinforce.descr	Cliquez pour récupérer toutes les unités perdues depuis le début de la mission.
	
//// Effects	
Kai_Rider.frenzy.effect.name	Frénésie
Kai_Rider.frenzy.effect.text	Cette unité est en état de frénésie. Ses chances de coup critique sont augmentées.
CPCorruptedBody.name	Corps corrompu
CPCorruptedBody.text	Les statistiques de cette unité sont augmentées par une puissance du mal.
CPCorruptedMind.name	Esprit corrompu
CPCorruptedMind.text	L’esprit de cette unité est corrompu, ce qui la force à attaquer aux côtés de l’ennemi.
AncientSmith.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmith.abilities.ConfuseAbi.effect.effect.text	L’armure de Smith l’ancien est améliorée durant la manœuvre de confusion.
AncientSmith.AncientSmithBerserkAura.effect.name	Fou furieux
AncientSmith.AncientSmithBerserkAura.effect.text	Les dégâts de cette unité sont augmentés par l’aura de folie furieuse d’un Smith l’ancien proche.
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	L’armure de Smith l’ancien est améliorée durant la manœuvre de confusion.
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	Cette unité est menacée par un Smith l’ancien et ne peut plus attaquer personne.
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	L’armure de Smith l’ancien est améliorée durant la manœuvre de confusion.
AncientSmithMinion.AncientSmithFortifyAura.effect.name	Fortification
AncientSmithMinion.AncientSmithFortifyAura.effect.text	L’armure de cette unité est renforcée par l’aura de fortification d’un Smith l’ancien proche.
