sid	text:fr
	
//// Unit statistics	
stat.psi	Puissance
stat.hp_gen	Génération de points de vie
stat.psi_gen	Génération de puissance
stat.expose_target_chance	Chance d’explosion
stat.expose_target_armor_duration	Durée d’exposition
stat.crit_chance	Chance de coup critique
stat.rocket_precision_damage_perc	Efficacité de fusée de commotion
stat.rocket_precision_duration	Durée de fusée de commotion
stat.rocket_precision_chance	Chance de fusée de commotion
stat.rocket_damage	Dégâts de fusée
stat.inject_hp	Injection de soins
stat.confuse_duration	Durée de confusion
stat.confuse_armor_perc_buff	Augmentation d’armure de confusion
stat.inject_power_cost	Coût d’injection de puissance
stat.confuse_power	Coût de puissance de confusion
stat.barrage_cost	Coût de puissance de barrage
stat.nano_fix_power	Coût de puissance de nano-réparation
stat.nano_fix_heal	Soin de nano-réparation
stat.repairdrones_power	Puissance des drones de réparation
stat.repairdrones_heal_radius	Rayon de travail des drones de réparation
stat.repairdrones_repair_per_tick	Soins des drones de réparation
stat.overcharge_chance	Chance de surcharge
stat.overcharge_stun_duration	Durée de paralysie de surcharge
stat.shield_hull	Durée de bouclier
stat.shield_regen	Génération de bouclier
stat.shield_fullabsorbchance	Déviation de bouclier
stat.shield_percentabsorbtion	Allègement de bouclier
stat.sweep_damage	Dégâts de sillon de feu
stat.sweep_power_cost	Coût de puissance de sillon de feu
stat.discharge_chance	Chance de décharge
stat.proton_shot_damage	Dégâts de grenade proton
stat.proton_shot_radius	Rayon de grenade proton
stat.proton_shot_psi	Coût de puissance de grenade proton
stat.voiceofcommand_duration	Durée de sillon de feu
stat.voiceofcommand_damage_perc	Augmentation de dégâts de sillon de feu
stat.voiceofcommand_power	Coût de puissance de sillon de feu
stat.rupture_chance	Chance de rupture
stat.rupture_stun_duration	Durée de paralysie de rupture
stat.bandage_amount	Soins de premiers secours
stat.relief_duration	Durée de cellule curative
stat.relief_healpersec	Soin de cellule curative
stat.relief_psicost	Coût de puissance de cure
stat.mend_power	Coût de puissance de guérison
stat.mend_heal	Soin de guérison
stat.throw_grenade_chance	Chance de grenade
stat.grenade_damage	Dégâts de grenade
stat.grenade_radius	Rayon de grenade
stat.growl_duration	Durée de grondement
stat.growl_chance	Chance de grondement
stat.ignite_duration	Durée d’allumage
stat.whirlwind_chance	Chance de tornade
stat.illusion_power_cost	Coût de puissance d’illusions
stat.fortify_power_cost	Coût de puissance de fortification
stat.fortify_armor_add_perc	Augmentation de fortification d’armure
stat.fortify_armor	Addition de fortification d’armure
stat.shift_stun_duration	Durée de paralysie de modificateur
stat.holy_aura_heal	Soin d’aura sainte
stat.pyrowave_chance	Chance de pyrochoc
stat.lightning_power	Coût de puissance de foudre
stat.lightning_damage	Dégâts de foudre
stat.holyshock_power	Coût de puissance de choc saint
stat.freeze_duration	Durée de gel
stat.freeze_power	Coût de puissance de gel
stat.hollow_voice_chance	Chance de voix caverneuse
stat.hollow_voice_damage	Dégâts de voix caverneuse
stat.hollow_voice_area	Portée de voix caverneuse
stat.death_rumble_chance	Chance de roulement de mort
stat.death_rumble_damage	Dégâts de roulement de mort
stat.death_rumble_area	Portée de roulement de mort
stat.howl_fear_duration	Durée de peur de mugissement
stat.drain_life_chance	Chance de drain de vie
stat.rejuvenation_psicost	Coût de puissance de renouveau
stat.rejuvenation_amount	Soin de renouveau
stat.purify_psicost	Coût de puissance de purification
stat.chill_psi_cost	Coût de puissance de vague de gel
stat.chill_duration	Durée de refroidissement
stat.incinerate_psi_cost	Coût de puissance d’incinération
stat.incinerate_damage	Dégâts d’incinération
stat.drain_psi_amount	Niveau de puissance de drain
stat.drain_psi_chance	Chance de puissance de drain
stat.unholy_aura_heal	Soin d’aura impie
stat.corruption_damage	Dégâts de corruption
stat.corruption_duration	Durée de corruption
stat.unholy_power_cooldown	Recouvrement de puissance impie
stat.chain_shot_chance	Chance de tir en chaîne
stat.fear_shock_power	Coût de puissance de choc de peur
stat.fear_shock_duration	Durée de choc de peur
stat.stasis_shot_chance	Chance de tir de stase
stat.stasis_shot_duration	Durée de tir de stase
stat.power_fuse_perc	Efficacité de fusion d’énergie
stat.power_fuse_area	Portée de fusion d’énergie
stat.dimension_chain_duration	Durée de chaîne dimensionnelle
stat.dimension_chain_power	Coût de puissance de chaîne dimensionnelle
stat.vitality_surge_gain	Soin d’afflux de vitalité
stat.vitality_surge_power	Coût de puissance d’afflux de vitalité
stat.harvest_chance	Chance de moisson
stat.harvest_damage	Dégâts de moisson
stat.harvest_duration	Durée de moisson
stat.harvest_cooldown	Recouvrement de moisson
stat.confuse_chance	Chance d’imminence
stat.vortex_power	Coût de puissance de tourbillon
stat.vortex_heal	Soin de tourbillon
stat.feed_psi_cost	Coût de puissance d’alimentation
stat.feed_base	Force d’alimentation
stat.nether_nova_psi_cost	Coup de puissance de nova infernale
stat.nether_nova_radius	Portée de nova infernale
stat.nether_nova_damage	Dégâts de nova infernale
stat.charging_field_area	Portée de champ de charge
stat.charging_field_psi_perc	Génération de puissance de champ de charge
stat.breed_power	Coût de puissance de formation
stat.enfeeble_chance	Chance d’affaiblissement
stat.enfeeble_damage_reduction_perc	Réduction de dégâts d’affaiblissement
stat.enfeeble_duration	Durée d’affaiblissement
stat.power_leak_chance	Chance de perte de puissance
stat.power_leak_drain	Drain de perte de puissance
stat.feedback_chance	Chance de feed-back
stat.feedback_heal	Soin de feed-back
stat.healing_taken_mod	Soin reçu
stat.life_leech_boost	Taux de sangsue de vie
stat.hp	Points de vie
stat.armor	Armure
stat.damage	Dégâts
stat.drain_life_boost	Taux de drain de vie
	
//// Generic item descriptions	
generic_item.ALIEN_MASTER	Cet élément améliore les statistiques de votre Maître.
generic_item.ALIEN_ARBITER	Cet élément améliore les statistiques de vos médiateurs.
generic_item.ALIEN_DOMINATOR	Cet élément améliore les statistiques de vos dominateurs.
generic_item.ALIEN_HARVESTER	Cet élément améliore les statistiques de vos moissonneurs.
generic_item.ALIEN_MANIPULATOR	Cet élément améliore les statistiques de vos manipulateurs.
generic_item.ALIEN_POWER	Cet élément est lié au pouvoir, un des aspects du Culte.
generic_item.ALIEN_CORRUPTION	Cet élément est lié à la corruption, un des aspects du Culte.
generic_item.ALIEN_DOGMA	Cet élément est lié au dogme, un des aspects du Culte.
generic_item.HUMAN_COMMANDER	Cet élément améliore les statistiques de votre Seigneur commandant.
generic_item.HUMAN_ASSASSIN	Cet élément améliore les statistiques de vos assassins.
generic_item.HUMAN_CONSTRUCTOR	Cet élément améliore les statistiques de vos constructeurs.
generic_item.HUMAN_JUDGE	Cet élément améliore les statistiques de vos juges.
generic_item.HUMAN_SURGEON	Cet élément améliore les statistiques de vos chirurgiens.
generic_item.HUMAN_DEFENCE	Cet élément est lié aux xénotronics, une des disciplines scientifiques des humains.
generic_item.HUMAN_IMPLANTS	Cet élément est lié à la nanotechnologie, une des disciplines scientifiques des humains.
generic_item.HUMAN_WEAPONS	Cet élément est lié à la métachimie, une des disciplines scientifiques des humains.
generic_item.MUTANT_HIGHPRIEST	Cet élément améliore les statistiques de votre Grand prêtre.
generic_item.MUTANT_ADEPT	Cet élément améliore les statistiques de vos sorciers.
generic_item.MUTANT_GUARDIAN	Cet élément améliore les statistiques de vos gardiens.
generic_item.MUTANT_SHAMAN	Cet élément améliore les statistiques de vos chamans.
generic_item.MUTANT_STONEGHOST	Cet élément améliore les statistiques de vos fantômes de pierre.
generic_item.MUTANT_BLOOD	Cet élément est lié au sang, un des aspects des tribus.
generic_item.MUTANT_MIND	Cet élément est lié à l’esprit, un des aspects des tribus.
generic_item.MUTANT_NATURE	Cet élément est lié à la nature, un des aspects des tribus.
	
//// Group tags	
all	Toutes unités
psi	Toutes les unités avec puissance
shield	Toutes unités avec bouclier
