sid	text:fr
	
#40000.text	Le chant du chêne gardera sa force !
#42970.text	Les âmes perdues reviendront pour se mettre au service du seul fort et juste...
#47510.text	Évite la corruption, chasseur ! Les âmes pures se vendent...
#51700.text	Le chant de l’éternel renverra son écho...
#51710.text	N’approchez pas de l’eau !
#51830.text	Le no man’s land brûlera encore !
#52270.text	Tenez-vous éloigné des enfants !
#52360.text	Sois petit mais courageux pour toujours !
#55110.text	Légendaires capsules roses contenant la délivrance pure
#57100.text	Il faudra retrouver l’art ancien de la course !
#57260.text	Twut Ra Khan sorcière du mal, épouse la plus sage d’Aeluru.
#58960.text	À utiliser avec prudence ! Peut rendre n’importe qui furieux...
#65920.text	Gravé dans la pierre : un torrent de flèches et un second piège est l’essence de la survie !
