sid	text:fr
	
// missions	
earth_spots.#11.title	Totalement inattendu
earth_spots.#11.descr	Onkar ni’Varra mène une expédition destinée à explorer d’anciennes ruines. Son fils, Denkar, est responsable de la sécurité de l’expédition.
earth_spots.#12.title	Destruction
earth_spots.#12.descr	Denkar revient au village tamani après un voyage d’exploration et découvre que le village est attaqué par les forces de Dunetown.
earth_spots.#13.title	Trahison !
earth_spots.#13.descr	Une autre attaque des forces de Dunetown est en cours dans un village wakono voisin. Son Grand prêtre, Ganthu, doit protéger sa tribu.
earth_spots.#14.title	Châtiment
earth_spots.#14.descr	Denkar et Ganthu vont se rendre à la base de Dunetowner, s’occuper de son Seigneur commandant et s’emparer d’un vaisseau.
earth_spots.#15.title	Accueil hostile
earth_spots.#15.descr	Denkar, Ganthu et Eji approchent de Saling. Ils traversent les paysages désolés et caniculaires qui entourent la ville.
earth_spots.#16.title	Infiltration
earth_spots.#16.descr	Denkar, Ganthu et Eji essaient de s’infiltrer dans Saling. Denkar doit créer une diversion de manière à ce que les deux mutants ne se fassent pas repérer.
earth_spots.#21.title	Un nouvel ennemi
earth_spots.#21.descr	Nommé Seigneur commandant à Aurora, Denkar est envoyé défendre une installation dans les environs de la ville contre des assaillants inconnus.
earth_spots.#22.title	Un lieu mortel
earth_spots.#22.descr	Denkar revient sur les lieux ou est mort son père dans le but de récupérer son journal de campagne. Il espère y trouver des indices sur la cité humaine perdue.
earth_spots.#23.title	En suivant les fragments
earth_spots.#23.descr	Le journal d’Onkar signale un endroit particulier dans Inca. À la tête de son équipe, Denkar explore les ruines à la recherche de nouvelles pistes.
earth_spots.#24.title	Dans le repaire de la bête
earth_spots.#24.descr	Le dernier ‘fragment’ est un poste avancé d’Esperanza abandonné en Amérique.
earth_spots.#25.title	À l’approche d’Esperanza
earth_spots.#25.descr	L’équipe de Denkar approche d’Esperanza et découvre que les environs de la ville sont infestés d’extra-terrestres et de créatures du Fléau.
earth_spots.#26.title	Labyrinthe
earth_spots.#26.descr	Entrés dans Esperanza, Denkar et son équipe essaient de devancer les extra-terrestres pour trouver l’origine de la mystérieuse force perçue par Eji.
earth_spots.#31.title	En danger !
earth_spots.#31.descr	Après avoir récupéré l’artéfact d’Esperanza, Denkar et ses compagnons doivent s’échapper en l’emportant.
earth_spots.#32.title	Ailes brisées
earth_spots.#32.descr	Les forces du Culte ont abattu le vaisseau de Tharksh et tentent d’éliminer l’équipe.
earth_spots.#33.title	Pris dans la toile
earth_spots.#33.descr	Kuna ni’Dahl et Arna ni’Varra s’envolent pour venir aider Denkar. Le vaisseau aussi est désactivé mais Kuna parvient à atterrir à proximité des installations anti-aériennes du Culte.
earth_spots.#34.title	Chaos
earth_spots.#34.descr	Ayant détecté la chute du vaisseau extra-terrestre, les Jurriens envoient une équipe d’assaut. Les tribus locales n’hésitent pas à ouvrir les hostilités.
earth_spots.#35.title	Ascension
earth_spots.#35.descr	L’équipe de Denkar escalade les pentes d’une arête autour du Gouffre de l’Enfer.
earth_spots.#36.title	Bataille mentale
earth_spots.#36.descr	Dans un effort désespéré de retourner la situation contre le Culte, Eji doit s’engager dans un combat mental avec un télépathe extra-terrestre.
	
// special locations	
earth_spots.#101.title	Safari mortel
earth_spots.#101.descr	Engagez-vous dans un safari mortel où les chasseurs deviennent vite des proies.
earth_spots.#102.title	Base de Dunetown
earth_spots.#102.descr	Infiltrez la base de Dunetown.
earth_spots.#103.title	Arène des sports sanglants
earth_spots.#103.descr	Montrez votre talent dans l’arène.
earth_spots.#104.title	Base ROM
earth_spots.#104.descr	Infiltrez la base ROM.
earth_spots.#105.title	Kharum
earth_spots.#105.descr	Sauvez les habitants de Kharum d’une menace imminente.
earth_spots.#106.title	Les ferrailleurs
earth_spots.#106.descr	Affrontez les habitants du dépôt de ferraille.
	
// story bits titles	
12 cities	Les cités humaines
12 saling	Saling
12 onkar	Onkar ni’Varra
12 denkar	Denkar ni’Varra
12 tamani	Tamani
13 ganthu	Ganthu
13 eji	Eji
13 ragho	Ragho
14 allies	Alliés inattendus
14 mining_base	La base de Dunetown
15 saling	Saling
16 mutants	Des mutants et les villes
21 aurora	Aurora
21 order	L’Ordre
21 kuna	Kuna ni’Dahl
21 denkar	Denkar ni’Varra
21 arna	Arna ni’Varra
21 aliens	Assaillants inconnus
22 meeting	La réunion du Conseil
22 lost_city	La ville perdue
22 diary	Journal d’Onkar
23 diary	Journal d’Onkar
24 esperanza	Esperanza
25 final_clue	Indice final
26 esperanza	Esperanza
31 sacrifice	Sacrifice
31 aliens	Jaar Lash
31 tharksh	Maître Tharksh
31 seeds	Les Graines
31 resonator	Le résonateur Psi
32 aa	Installation anti-aérienne Jaar Lash
33 help	Mission de sauvetage
34 jurra	Jurra
35 hole	Le Gouffre de l’enfer
36 acceleration	L’accélération
	
// victory conditions	
victory_defeat	Vous avez été vaincu !
victory_nolongerdefeated	Vous n’êtes plus vaincu !
victory_victory	Vous êtes vainqueur !
victory_nolongervictory	Vous n’êtes plus vainqueur !
victory_playerdefeated	Le joueur [#] est vaincu !
victory_playernolongerdefeated	Le joueur [#] n’est plus vaincu !
	
victory_missiondone	Mission accomplie !
victory_missionfail	Mission ratée !
Commander_dead	Votre Seigneur commandant est mort !
HighPriest_dead	Votre Grand prêtre est mort !
Master_dead	Votre Maître est mort !
	
Denkar ni'Varra_dead	Denkar ni’Varra est mort !
Ganthu_dead	Ganthu est mort !
Eji_dead	Eji est morte !
Tharksh_dead	Tharksh est mort !
Onkar ni'Varra_dead	Onkar ni’Varra est mort !
Arna ni'Varra_dead	Arna ni’Varra est morte !
Kuna_dead	Kuna ni’Dahl est morte !
	
vic_13defdead	Les défenseurs sont morts !
vic_13vdefdead	Les défenseurs du village sont morts !
	
vic_31psistolen	Le résonateur Psi a été volé !
vic_31psidestr	Le résonateur Psi a été détruit !
	
vic_32psistolen	Le résonateur Psi a été volé !
vic_32psidestr	Le résonateur Psi a été détruit !
	
vic_33shipdes	Le vaisseau est détruit !
	
vic_34psistolen	Le résonateur Psi a été volé !
vic_34psidestr	Le résonateur Psi a été détruit !
