sid	text:fr
	
26 prophecy	La prophétie
briefings.26 prophecy	‘Quand leur rédempteur sera né, tu le sauras par son âme, si forte et pure qu’il pourra dompter toute créature vivante et même franchir les portes de la mort.<nl><nl>Et quand le rédempteur trouvera la voix dans les royaumes de l’espoir perdu, il chantera son chant pour le cœur brisé de la bête, et la bête s’endormira, et s’endormira pour toujours.<nl><nl>Alors, nous serons à nouveau les maîtres chez nous.’
	
// templates	
random_map_templates.hell.name	Environs du gouffre de l’enfer
random_map_templates.des.name	Le désert de Sahaar
random_map_templates.desert_p.name	Les plaines brumeuses
random_map_templates.dry.name	Les fosses rougeoyantes
random_map_templates.Jungle_a.name	Les jungles d’Inca
random_map_templates.mushroom.name	Les landes grises
random_map_templates.forest.name	La côte perdue
random_map_templates.cold.name	Tundra de Tay-Rammin
	
earth_spots.#107.title	Champs corrompus
earth_spots.#107.descr	Renvoyez les horreurs de l’au-delà d’où elles viennent.
	
earth_spots.#108.title	Couloirs des âges
earth_spots.#108.descr	Enfoncez-vous dans le labyrinthe de la ville perdue... si vous osez !
	
earth_spots.#109.title	La cachette des rebelles
earth_spots.#109.descr	Occupez-vous des rebelles Jaar Lash.
	
earth_spots.#110.title	Ponts du défi
earth_spots.#110.descr	Relevez le défi du guerrier invincible.
	
AlienShip_dead	Le vaisseau de Tharksh est détruit !
