sid	text:fr
	
// 11	
obj.Clear the way	Nettoyer le terrain
obj.Eliminate the hostile creatures	Éliminer les créatures hostiles
obj.Save Denkar	Sauver Denkar
obj.Avoid the patrols	Éviter les patrouilles
	
// 12	
obj.Get help	Obtenir de l’aide
obj.Helpers:	Rassembler les renforts
obj.Help the village	Atteindre le village
obj.Defenders alive:	Défenseurs en vie :
obj.Clear the enemy camp	Nettoyer le camp ennemi
obj.Enemies left:	Ennemis restants :
	
// 13	
obj.Protect the xenolite	Protéger la xénolite
obj.Defenders alive:	Défenseurs en vie :
obj.Sneak in the camp	Infiltrer le camp
obj.Return to the village	Revenir au village
obj.Save Eji	Sauver Eji
obj.Village defenders alive	Défenseurs du village vivants :
obj.Escape the village	S’enfuir du village
	
// 14	
obj.Enter the camp	Entrer dans le camp
obj.Find escape vehicle	S’échapper avec un véhicule
obj.Eliminate the mine defenders	Éliminer les gardes de la mine
	
// 15	
obj.Approach Saling	Approcher de Saling
obj.Find your way to Saling	Atteindre Saling
obj.Make your way past the camp	Franchir le camp
obj.Defeat the Salingian Commander	Vaincre le commandant de Saling
obj.Continue to Saling	Continuer vers Saling
obj.Avoid the fire bursts	Éviter les flammes
	
// 16	
obj.Enter the base	Entrer dans la base
obj.Remove the guards from the road	Se débarrasser des gardes
obj.Sneak through the base	Infiltrer la base
obj.Reach the service entrance	Atteindre l’entrée de service
	
// 21	
obj.Protect the village	Protéger le village
obj.Defenders alive:	Défenseurs en vie :
obj.Protect the lab	Protéger le labo
obj.Turrets left:	Canons-tours restants :
obj.Defeat The Hive	Vaincre les extra-terrestres
obj.Master killed:	Maître tué :
obj.no	non
obj.YES	OUI
obj.Breeder destroyed:	Formatrice détruite :
	
// 22	
obj.Reach Onkar's place of death	Atteindre le lieu où est mort Onkar
obj.Take the diary	Prendre le journal d’Onkar
obj.Reach the extraction point	Atteindre le point d’extraction
	
// 23	
obj.Scout the area	Explorer le secteur
obj.Follow the path	Suivre le sentier
obj.Protect the technicians	Protéger les techniciens
obj.Technicians alive	Techniciens vivants
obj.Examine the ancient device	Examiner l’ancien appareil
obj.Activate the power generator	Activer le générateur d’alimentation
obj.Find another ancient device	Trouver un autre ancien appareil
obj.Examine the ruins	Examiner les ruines
obj.Return to the first site	Revenir au premier site
obj.Find power	Trouver de l’énergie
obj.Find the ancient power source	Trouver la source d’énergie ancienne
obj.Reach the extraction point	Atteindre le point d’extraction
	
// 24	
obj.Help the mutants	Aider les mutants
obj.Help the village defenders	Aider les défenseurs du village
obj.Kill the Big One	Tuer la Pondeuse
obj.Explore the area ahead	Explorer la suite du secteur
obj.Search the area ahead	Fouiller la suite du secteur
	
// 25	
obj.Find Esperanza gates	Trouver les portes d’Esperanza
obj.Enter Esperanza	Entrer dans Esperanza
obj.Disable the gate forcefield	Désactiver le champ de force de la porte
obj.Protect the entrance	Protéger l’entrée
	
// 26	
obj.Open the gates	Ouvrir les portes
obj.Eliminate the aliens	Éliminer les extra-terrestres
obj.Find the ancient device	Trouve la source du signal
	
// 31	
