sid	text

ConfuseAction.spell.effect.effect2.name	Confusion
ConfuseAction.spell.effect.effect2.text	Cette unité est menacée par un Seigneur commandant et ne peut plus attaquer personne.

AncientSmith.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmith.abilities.ConfuseAbi.effect.effect.text	L’armure de Smith l’ancien est améliorée durant la manœuvre de confusion.
AncientSmith.abilities.ConfuseAbi.effect.effect2.name	Confusion
AncientSmith.abilities.ConfuseAbi.effect.effect2.text	Cette unité est menacée par un Smith l’ancien et ne peut plus attaquer personne.

AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	L’armure de Smith l’ancien est améliorée durant la manœuvre de confusion.
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.name	Confusion
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.text	Cette unité est menacée par un Smith l’ancien et ne peut plus attaquer personne.

AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	L’armure de Smith l’ancien est améliorée durant la manœuvre de confusion.
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.name	Confusion
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.text	Cette unité est menacée par un Smith l’ancien et ne peut plus attaquer personne.

AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	Confusion
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	L’armure de Smith l’ancien est améliorée durant la manœuvre de confusion.
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.name	Confusion
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.text	Cette unité est menacée par un Smith l’ancien et ne peut plus attaquer personne.

QueenProtector.abilities.Taunt.effect.effect.name	Soin
QueenProtector.abilities.Taunt.effect.effect.text	La reine est soignée par un protecteur de reine.
QueenProtector.abilities.Taunt.effect.effect2.name	Confusion
QueenProtector.abilities.Taunt.effect.effect2.text	Cette unité est menacée par un protecteur de reine et ne peut plus attaquer personne.

BridgeTrooper.abilities.Inject.effect.name	Injection
BridgeTrooper.abilities.Inject.effect.text	Le Soldat régénère sa santé sous l’influence de soins injectés.
