sid	text:fr
	
Checkpoint.name	Point de contrôle
Checkpoint.descr	Si vous activez le point de contrôle et échouez dans la suite de la mission, l’écran Défaite vous proposera de reprendre à partir du point actuel.
	
14.beams_switch.name	Commandes de la cage
14.beams_switch.descr	Désactiver la barrière d’énergie de la cage.
14.door_switch.name	Commandes de la porte
14.door_switch.descr	Ouvrir la porte proche.
	
16.guard_body_switch.name	Soldat mort
16.guard_body_switch.descr	Il semble qu’il s’agissait du garde de la porte. Le chercher est une bonne idée.
16.gate_switch.name	Commandes de la porte
16.gate_switch.descr	Vous pouvez ouvrir la porte avec la carte.
16.explosives_switch.name	Explosifs de mine
16.explosives_switch.descr	Denkar peut voler des explosifs ici.
16.explosive_place_switch.name	Structure
16.explosive_place_switch.descr	Denkar peut placer des explosifs dans ce bâtiment.
	
22.diary_switch.name	Journal d’Onkar
22.diary_switch.descr	Vous devez trouver le journal d’Onkar.
	
23.artifact_switch.name	Machine ancienne
23.artifact_switch.descr	Ces restes doivent être examinés.
23.generator_switch.name	Générateur d’alimentation
23.generator_switch.descr	Il faut activer le générateur.
	
26.gate_switch.name	Mécanisme ancien
26.gate_switch.descr	Il faut tenter de désactiver la machine ancienne.
	
35.spawner_switch.name	Téléporteur
35.spawner_switch.descr	Tharksh doit désactiver ce récepteur.
35.teleport1_switch.name	Commandes du téléporteur
35.teleport1_switch.descr	Tharksh doit activer la nacelle de téléportation d’ici.
35.teleport2_switch.name	Commandes du téléporteur
35.teleport2_switch.descr	Tharksh doit activer la nacelle de téléportation d’ici.
35.teleport_in_switch.name	Bouclier Jaar Lash
35.teleport_in_switch.descr	Seules les unités Jaar Lash peuvent franchir le bouclier.
35.teleport_out_switch.name	Bouclier Jaar Lash
35.teleport_out_switch.descr	Seules les unités Jaar Lash peuvent franchir le bouclier.
	
rom.door_switch.name	Commandes de la porte
rom.door_switch.descr	Ouvrir la porte proche.
	
dtb.door_switch.name	Commandes de la porte
dtb.door_switch.descr	Ouvrir la porte proche.
	
bsa.next_wave.name	Combat suivant
bsa.next_wave.descr	Indique à l’annonceur que vous êtes prêt pour le combat suivant.
	
kharum.talk_to_priest.name	Parler
kharum.talk_to_priest.descr	Parler au Grand prêtre du village.
kharum.call_ranboo.name	Maison
kharum.call_ranboo.desct	Vous pouvez frapper à la porte de cette maison.
kharum.talk_to_ranboo.name	Parler
kharum.talk_to_ranboo.descr	Parler à Ran Boo.
kharum.power_source.name	Source d’alimentation ancienne
kharum.power_source.descr	Faire approcher Ran Boo pour activer la source d’alimentation.
kharum.ancient_device.name	Dispositif ancien
kharum.ancient_device.descr	Faire approcher Ran Boo pour activer le dispositif ancien.
kharum.door_switch.name	Commandes de la porte
kharum.door_switch.descr	Ouvrir la porte proche.
	
safari.door_switch.name	Commandes de la porte
safari.door_switch.descr	Ouvrir la porte proche.
