sid	text
	
tip0	Maintenir CTRL enfoncé en exécutant une action partagée pour l’appliquer à chaque unité de la pile.
tip1	Maintenir SHIFT enfoncé pour exécuter en chaîne les actions partagées.
tip2	Maintenir le bouton central de la souris enfoncé et déplacer la souris à l’écran pour faire pivoter la caméra. Maintenir ALT et le bouton central de la souris enfoncés pour changer la hauteur de la caméra.
tip3	Utiliser F1, F2 et F3 pour exécuter les actions globales lors des parties Escarmouche, Entraînement et Combat à mort.
tip4	Utiliser F5–F8 pour marquer les cibles et envoyer la marque aux coéquipiers. CTRL+F5–CTRL+F8 pour sélectionner la dernière cible marquée de chaque type.
tip5	Les dégâts causés par certaines unités varient selon la distance qui les sépare de la cible. Essayez de placer les unités de la manière la plus efficace.
tip6	Il n’est pas possible de s’équiper d’objets sur le champ de bataille.
tip7	Il faut des xénoshards pour réinitialiser les spécialisations et révéler les spécialisations non encore découvertes. Les artéfacts acquis sur le terrain peuvent rapporter un xénoshard.
tip8	Chaque spécialisation révélée dans la grille de spécialisations augmente votre nombre d’étoiles. Vous pouvez utiliser jusqu’à 10 étoiles pour améliorer les spécialisations.
tip9	Utilisez ALT + clic gauche pour envoyer des signaux sur la mini-carte.
tip10	Les icones d’officier et de sélection peuvent être utilisés comme cible d’une action.
tip11	Les lieux spéciaux deviennent disponibles quand vous avez fini une mission ou un autre lieu spécial.
tip12	Des points de combat sont accordés quand vous participez aux parties Combat à mort ou Escarmouche. Vous pouvez échanger ces points de combat contre des objets.
tip13	Fantômes de pierre et surveillants de puissance peuvent recharger la puissance des autres unités.
tip14	Les feux de l’enfer sont capables de tirer tout en marchant.
tip15	N’oubliez pas que dans certaines missions et certains lieux spéciaux, votre chef peut faire appel à des renforts.
tip16	Les points de contrôle des missions sont réinitialisés si vous quittez la mission !
tip17	Si vous faites une partie multijoueur, pensez à sélectionner vos unités de départ avant de commencer à jouer. Les paramètres seront sauvegardés pour le type de partie en cours.
tip18	Pensez à ramasser les objets cachés dans certaines cartes.
tip19	La couleur des objets donne une indication sur leur rareté. Elle va de gris à vert, jaune, orange puis violet.
tip20	Essayez de dire rapidement : ‘Une troupe de trente trois tente de terrasser trente trisats et trois tritechs de Tharksh’.
