sid	text:fr
	
//// Common labels	
ok	OK
cancel	ANNULER
yes	OUI
no	NON
error	ERREUR
	
//// Entrance screen	
text_current_profile	PROFIL ACTUEL :
text_current_profile_gs	PROFIL ACTUEL (ID GameSpy) :
enter game	ENTRER
entering lobby	Entrée dans l’accueil...
change profile	CHANGER DE PROFIL
replay intro	REJOUER L’INTRO
credits	CRÉDITS
exit to desktop	SORTIR VERS LE BUREAU
incorrect password	Le mot de passe est incorrect.
gamespy_ttl	GameSpy
gslegal_text	Ce produit contient une technologie logicielle sous licence de GameSpy Industries, Inc. © 1999-2007 GameSpy Industries, Inc. GameSpy et le concept Powered By GameSpy sont des marques déposées de GameSpy Industries, Inc. Tous droits réservés.
	
//// Profiles window	
profiles	Profils
selected profiles	Sélectionner un des profils existants ou en créer un nouveau.
local account	Profil local
gamespy id account	Profil d’ID GameSpy
new	Nouveau
del	Eff.
delete account ttl	Effacer le profil
delete account	Également effacer le profil de GameSpy ?
enter password:	Saisir le mot de passe :
	
//// New Profile window	
create account	Créer un profil
name	Nom
psw	MdP
email	Courriel
no profile	Aucun profil sélectionné à effacer !
	
//// Main screen	
missions	MISSIONS
special locations btn	LIEUX<nl>SPÉCIAUX
pvp	COMBAT À MORT
skirmish	ESCARMOUCHE
practice	ENTRAÎNEMENT
abilities btn	GRILLE D’APTIDUDES
chat settings	PARAMÈTRES DE DISCUSSION
settings	RÉGLAGES
exit	QUITTER
exiting	QUITTE...
text_no_sp_locations	Vous n’avez pas encore découvert de lieux spéciaux.
	
//// Missions window	
clicktoviewinfo	Sélectionner une mission sur la gauche<nl>pour plus de détails.
locked_mission	Cette mission est toujours bloquée.
completed	TERMINÉ
fastest time	MEILLEUR TEMPS : [#]h [#]m [#]s
rewards:	RÉCOMPENSES :
replay	REJOUER
	
//// Game List window	
all locations	TOUS LIEUX
all	TOUTES
big	GRANDES
small	PETITES
ping	PING
quick join	REJOINDRE RAPIDEMENT
join	REJOINDRE
error joining	ERREUR EN REJOIGNANT
create	CRÉER
special locations	LIEUX SPÉCIAUX
open special location games	OUVRIR DES PARTIES SUR LIEUX SPÉCIAUX
open practice games	OUVRIR DES PARTIES D’ENTRAÎNEMENT
err_onlysingle	VOUS POUVEZ JOUER ICI EN MODE UN JOUEUR SEULEMENT
err_toobigteam	VOTRE ÉQUIPE EST TROP GRANDE POUR JOUER ICI
auto_findgame	RECHERCHE DE PARTIE EN COURS...
auto_findteam	RECHERCHE D’ÉQUIPE EN COURS...
the game is full	La partie est pleine.
	
//// Active Game window	
special location	LIEU SPÉCIAL
pvp_title	Combat à mort
arr_team	Équipe arrangée
random_player	Joueur aléatoire
random	Aléatoire
team	Équipe
pvp_help	<color=255, 143, 51><b>Options de Combat à mort</></><nl><nl>Dans une partie Combat à mort, vous affrontez des adversaire inconnus et gagnez des artéfacts en récompense.<nl>Sélectionnez 1v1, 2v2 ou 3v3 pour définir la taille des équipes.<nl>Basculez entre Équipe et Aléatoire pour définir le type d’équipe.<nl>Sélectionnez ‘Équipe’ pour inviter un/des joueur(s) en particulier ou ’Aléatoire’ pour jouer dans une équipe au hasard.<nl>Les membres d’une équipe aléatoire sont sélectionnés une fois que vous avez appuyé sur le bouton Démarrer.<nl>Avec Association automatique, une équipe du même type (arrangée ou aléatoire) est sélectionnée automatiquement.
hard ai	IA forte
easy ai	IA faible
s game	Partie de [#]
s game: 	Partie de [#] : 
s line up	Équipe de [#]
1v1	1v1
2v2	2v2
3v3	3v3
<closed>	<fermé>
<open>	<ouvert>
leave	QUITTER
start	DÉMARRER
	
//// Chat settings window	
friends list	LISTE D’AMIS
ignore list	IGNORER LA LISTE
chat_tab	CHAÎNES
standart channels	CHAÎNES STANDARD
default	Par défaut
default channel	Chaîne par défaut
general	Général
virtual channels	CHAÎNES VIRTUELLES
tells	Dit
created game lobby	Accueil de jeu créé
user channels	CHAÎNES D’UTILISATEURS
text_unassigned	<non assignée>
sl_invalidchannelname	Nom de chaîne incorrect, seuls les caractères latins sont autorisés et sans espace !
text_chatviewsetup_title	VOIR LA DISCUSSION D’UTILISATEUR #[#]
shorcut_assign	Appuyez sur la lettre de raccourci que vous voulez assigner à la chaîne ‘[#]’, appuyez sur Espace ou Entrée pour effacer si une lettre est déjà assignée ou appuyez sur Échap pour annuler.
chat views:	VUES SUR DISCUSSIONS :
help_chatsetup	Cliquez sur les icones ci-dessous pour sélectionner les chaînes à visionner dans chaque vue.
clicktosetupchanel	Sélectionnez les chaînes à visionner dans votre vue de discussion numéro ‘[#]’.
find	Trouver
game	Partie
F_riend	A
I_gnored	I
addtofriends	Ajouter aux amis
invitetoteam	Inviter dans l’équipe
inviteasopponent	Inviter comme adversaire
viewinfo	Voir les infos
ignore	Ignorer
	
//// Other chat-related texts	
from	De
to	À
text_user_join_game	<i><color=180,180,180>Le joueur ‘[#]’ a rejoint la partie.</></>
text_user_left_game	<i><color=180,180,180>Le joueur ‘[#]’ a quitté la partie.</></>
text_user_rename	<i><color=180,180,180>Le nouveau pseudo du joueur ‘[#]’ est : ‘[#]’</></>
	
//// Game invitation texts	
invite player:	Inviter le joueur :
text_type_player_name	<saisir le nom ici>
accept	Accepter
decline	Refuser
invitation_ttl	Invitation
invitation_msg	Le joueur ‘[#]’ vous invite à rejoindre sa partie.
invitation_accepted	Le joueur ‘[#]’ a accepté votre invitation.
invitation_declined	Le joueur ‘[#]’ a refusé votre invitation.
