sid	text:fr
	
version conflict	CONFLIT DE VERSION
differs from the server	La version locale diffère de celle du serveur.
	
	
//// Victory/Defeat screen	
stats_caps	STATISTIQUES
items_taken_caps	OBJETS PRIS
chs_rewards_caps	CHOISISSEZ VOS RÉCOMPENSES
chs_reward_caps	CHOISISSEZ VOTRE RÉCOMPENSE
mis_complete_caps	MISSION ACCOMPLIE
mis_failed_caps	MISSION RATÉE
battle_points	points de combat
drag_txt	Faites glisser l’objet de votre choix dans votre inventaire.
battle_pts_tt_title	Points de combat
battle_pts_tt_text	En participant aux Combats à mort ou aux Escarmouches, vous recevez des points de combat. Si vous gagnez, vous en recevez encore plus. Utilisez vos points de combat pour acheter des objets.<nl><nl>Votre total de points de combat est affiché ici.
shards_tt_title	Xénoshards
shards_tt_text	Il est possible d’extraire un xénoshard de chaque objet gagné dans le jeu. Les objets les plus rares offrent plus de chances d’extraire un xénoshard.<nl><nl>Le nombre de xénoshards gagnés dans cette partie est affiché ici.
chng_off_btn	Changer d’offre
skip_btn	Passer
buy_btn	Acheter
items_shop	ACHETER DES OBJETS
get_off_btn	Obtenir une offre
lost_off_txt	Lister des objets à acheter est gratuit si vous gagnez mais coûte des points de combat si vous perdez.
no_bpoints	Points de combat insuffisants.
no_bpoints_ttl	Échec de l’achat
buyfailed_ttl	Échec de l’achat
buyfailed	Points de combat insuffisants ou créneaux d’objet indisponibles.
inactive_spec	Inactif
chg_off_btn	Relancer
close_caps	FERMER
continue_caps	CONTINUER
observe_caps	OBSERVER
stats_btn_caps	STATS
alert	Alerte
vic_close_items	Il reste des objets dans le dépôt temporaire. Vraiment continuer ?
	
	
//// Lobby	
prac_caps	ENTRAÎNEMENT
pvp_caps	COMBAT À MORT
locations	LIEUX
chat btn lobby	DISCUSSION
	
	
//// Settings	
effects_all	Tous
effects_med	Moyen
effects_low	Faible
effects_scale	Effets
	
	
//// CD Key screen	
cdkey_invalidkey	CLÉ DE CD INCORRECTE !
validate	VALIDER
enter cdkey	Saisir la CLÉ DE CD :
gs_invalidcdkey	La clé de CD fournie est incorrecte. Message d’erreur : ‘[#]’.
gs_disconnect	Vous avez été déconnecté du service en ligne. Message d’erreur : ‘[#]’.
	
	
//// Login	
GSStatus_GetProfiles	Obtention de profils GameSpy
GSStatus_CreateProfile	Création de profils GameSpy
lan	LAN
internet	INTERNET
	
net_login	Connexion à WorldShift
net_enter_player_name	Nom de joueur WorldShift
net_enter_password	Mot de passe
net_newplayer	NOUVEAU JOUEUR
net_choosegsaccount	Choisir votre ID GameSpy
net_enter_email	Adresse courriel
net_newaccount	Nouvel ID GameSpy
net_next	Suivant
net_error	Erreur de connexion
net_helpchoosegsaccount	Fournissez les infos demandées si vous avez déjà un ID GameSpy et cliquez sur ’Suivant’ ou sur ’Nouvel ID’ pour en créer un nouveau.
net_creategsaccount	Créer un nouvel ID GameSpy
net_retype_password	Confirmer le mot de passe
net_create	Créer
