sid	text

gs_game_disabled	Cette version du jeu est expiré.
voice	voix
inspect_forbidden_ttl	INSPECTER NON ADMIS
inspect_forbidden_txt	Le joueur ne permet pas à être inspectés.
paused	PAUSE
antialiasing	Anti-aliasing
kicked	Vous avez été expulsé de la partie.
res_error	Impossible de définir la résolution désiré!
dmmeters_stl1	(joueurs<color = 52,157,255> en préparation</>, <color = 183,94,216> en jeu</> et<nl><color = 241,182,1> en recherchant</>)
trash_ttl	Recycler un point
trash_txt	Placez un objet ici. Vous avez la chance d’en obtenir un xénoshard. La probabilité d’obtenir un xénoshards, s’adresse à la qualité de l’objet.
log_ttl	Log de la conversation
log_txt	Cliquez ici pour montrer les derniéres conversations, s'il vous plaît
Ran Boo_dead	Ran Boo est mort !
Kharum Priest_dead	Le Grand prêtre de Kharum est mort !
Trooper.trooper_name	Soldat
Trooper.elite_name	Soldat d’élite
trooper_name.name	Soldat
elite_name.name	Soldat d’élite
