style	text
firm	Black Sea Studios
whiteline	
default	
position	Direzione del progetto
default	Vesselin Handjiev
default	
position	Assistente di direzione
default	Tsvetan Tsvetanov
default	
position	Direzione tecnica
default	Panayot Yanazov
default	
position	Art Director
default	Vesselin Efremov
default	
position	Responsabile design
default	Vesselin “Frujin” Handjiev
default	
position	Responsabile Programmazione
default	Panayot Yanazov
default	
position	Responsabile Arte
default	Vesselin Efremov
default	
position	Programmazione
default	Alexander Alexandrov<nl>Mikhail Balabanov<nl>Michael Peykov<nl>Mihail Moskov<nl>Oleg Zlatarski<nl>Panayot Yanazov<nl>Sergey Georgiev<nl>Tsvetan Tsvetanov
default	
position	Arte
default	Stoyan Stoyanov<nl>Alexander Botev<nl>Dilyan Tonchev<nl>Todor Kolev<nl>Georgi Murdzhev<nl>Stoyan “Toma” Mollov<nl>Cvetoslav Gergov<nl>Plamen “Paco” Tamnev<nl>Veronika Chorbadjieva<nl>Nikolay Loukianov<nl>Nikolai Georgiev<nl>Ina Simova<nl>Sergey Samuilov
default	
dark	e ancora
default	
default	Christo Christov<nl>Dimitar Rusev<nl>Nadia Petkova<nl>Rossen Manchev<nl>Kosta Atanasov<nl>Stoyan Seimenov<nl>Julian Panov
default	
position	Artista tecnico
default	Stoyan “Toma” Mollov
default	
position	Audio design
default	Vesselin Handjiev
default	
position	Effetti speciali
default	Borislav Slavov<nl>Vesselin Handjiev
default	
position	Musica
default	Borislav Slavov a.k.a. Glorian
default	Victor Stoyanov
default	
position	Dialoghi
default	Mikhail Balabanov
default	
position	Design del gioco
default	Vesselin Handjiev<nl>Michael Peykov<nl>Alexander Alexandrov
default	
position	Sceneggiatura della campagna
default	Mikhail Balabanov
default	
position	Design delle missioni cooperative
default	Vesselin Handjiev<nl>Michael Peykov<nl>Veronika Chorbadjieva<nl>Sergey Georgiev
default	
position	Design dei livelli
default	Veronika Chorbadjieva<nl>Veselin Handjiev
default	
position	Scripts delle mappe
default	Michael Peykov<nl>Sergey Georgiev
default	
position	Responsabile della localizzazione
default	Mikhail Balabanov
default	
position	Marketing e P.R.
default	Ina Simova
default	Julia Krasteva
default	
position	Responsabile d'ufficio
default	Julia Krasteva
default	
firm	Keyfactor
whiteline	
default	
position	Direttore P.R.
default	Sabine Kaiser
default	
position	Responsabile P.R.
default	Jens Friedrich
default	
position	Produttore esecutivo
default	Frank Fay
default	
position	Produttore esecutivo
default	Alexander Köhler
default	
position	Assistente di produzione
default	Markus Michel
default	
position	Responsabile QA
default	Alwin Mangundirjo
default	
