sid	text

ConfuseAction.spell.effect.effect2.name	Confusione
ConfuseAction.spell.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Quest'unità è minacciata da un Lord Commander e non può attaccare altri nemici.

AncientSmith.abilities.ConfuseAbi.effect.effect.name	Confusione
AncientSmith.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>L'armatura di Ancient Smith viene potenziata durante un'azione di Confusione.
AncientSmith.abilities.ConfuseAbi.effect.effect2.name	Confusione
AncientSmith.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Quest'unità è minacciata da un Ancient Smith e non può attaccare altri nemici.

AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	Confusione
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>L'armatura di Ancient Smith viene potenziata durante un'azione di Confusione.
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.name	Confusione
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Quest'unità è minacciata da un Ancient Smith e non può attaccare altri nemici.

AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	Confusione
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>L'armatura di Ancient Smith viene potenziata durante un'azione di Confusione.
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.name	Confusione
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Quest'unità è minacciata da un Ancient Smith e non può attaccare altri nemici.

AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	Confusione
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	<color=245, 81, 51>T.COM: Confusion</><nl>L'armatura di Ancient Smith viene potenziata durante un'azione di Confusione.
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.name	Confusione
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Quest'unità è minacciata da un Ancient Smith e non può attaccare altri nemici.

QueenProtector.abilities.Taunt.effect.effect.name	Cura
QueenProtector.abilities.Taunt.effect.effect.text	<color=245, 81, 51>T.COM: Healing</><nl>Queen sta ricevendo delle cure da un Queen Protector.
QueenProtector.abilities.Taunt.effect.effect2.name	Confusione
QueenProtector.abilities.Taunt.effect.effect2.text	<color=245, 81, 51>T.COM: Confusion</><nl>Quest'unità è minacciata da un Queen Protector e non può attaccare altri nemici.

BridgeTrooper.abilities.Inject.effect.name	Iniezione rivitalizzante
BridgeTrooper.abilities.Inject.effect.text	<color=245, 81, 51>T.COM: Inject</><nl>La salute del Trooper si sta rigenerando grazie alle proprietà curative di un'Iniezione.
