sid	text
	
// UNITS //////////////////////////////////////////////////////////////////////	
	
Assassin.name	刺客
Assassin.descr	這種長距離單位在最大射程時威力最強。他的射擊有機會減弱目標裝甲數秒鐘。
AssaultBot.name	突襲機器人
AssaultBot.descr	裝甲完善的機械單位。偶而會發射能夠減弱目標敵人攻擊效率的火箭。能夠齊射長距離火箭。
Commander.name	貴族指揮官
Commander.descr	貴族指揮官的裝甲渾厚而且擁有一種鄰近加成能力。他能夠醫療自己並吸引敵人攻擊。
Constructor.name	建築師
Constructor.descr	這種機械軍官能在戰鬥期間快速地維修機器。他的普通攻擊有機會擊中並暈眩數名敵人。
Crew.name	技師
Crew.descr	當附近沒有敵人時，技師會自動維修建築物。
EliteTrooper.name	突擊裝甲兵
EliteTrooper.descr	突擊裝甲兵是充當臨時增援的精銳部隊。無法直接控制他們。
Hellfire.name	地獄火
Hellfire.descr	行動緩慢但裝甲及護盾強大的遠距機械單位。能夠發射強大的近距離區域攻擊。
Judge.name	判官
Judge.descr	一種能有效對付「能量使用型」敵人的頑強軍官。能夠晉升部隊至精英狀態並強化他們的攻擊力。
ProtonTurret.name	質子砲塔
ProtonTurret.descr	能夠加裝至控制塔的防禦性砲塔。
RepairDrone.name	維修機械人
Ripper.name	撕裂者
Ripper.descr	這是一種行動快速的肉搏單位。攻擊時有機會震暈敵人。
Surgeon.name	醫生
Surgeon.descr	這是一種訓練來醫療有機體單位專家，即便是當她們進行戰鬥時。儘管她在其他方面是弱小的戰士，她的攻擊在近距離平射的狀態下非常強大。
Technician.name	技師
Technician.descr	非戰鬥人員，訓練來處理各式各樣的設備和人造物品。
Trooper.name	裝甲兵
Trooper.descr	相對廉價而且擁有鄰近加成的單位。戰鬥時偶而會投擲手榴彈。能夠晉升成精英狀態提高其致命一擊的機率。
Trooper.trooper_name	裝甲兵
Trooper.elite_name	精銳裝甲兵
trooper_name.name	裝甲兵
elite_name.name	精銳裝甲兵
	
AlienEgg.name	蛋體
AlienEgg.descr	這是一種由「傳送門」或「繁殖者」產出的實體。作為防禦設施使用並且在被摧毀時釋放孵化體。
Arbiter.name	仲裁者
Arbiter.descr	這種長距離單位在最大射程時威力最強。他的射擊有機會一次擊中數個目標。能夠對敵人造成恐慌，導致他們陷入混亂逃跑。
Dominator.name	支配者
Dominator.descr	這種強大的人員控制型單位能夠麻痺敵人並且吸取他們的能源。他的攻擊能完全地忽視敵人的裝甲。
Harvester.name	收割者
Harvester.descr	這種重型肉搏單位的攻擊可能會震懾附近的有機體敵人，使得他們的行動便慢。他也能夠自我醫療。
Hatchling.name	孵化體
Hatchling.descr	較為弱小的崔薩特變體。能夠吸引敵人攻擊。
Manipulator.name	操弄者
Manipulator.descr	這種醫療單位的普通攻擊能夠從目標敵人竊取生命並將其灌輸於附近盟友。他能製造一道醫療漩渦暫時醫療附近盟友。
Master.name	大師
Master.descr	一種強大的進攻和醫療型單位。能夠敵人竊取生命並且分配給附近盟友。也能夠發射強大的區域性攻擊。
Overseer.field_name	戰場督察
