sid	text

ConfuseAction.spell.effect.effect2.name	混亂
ConfuseAction.spell.effect.effect2.text	此單位受到貴族指揮官威脅無法攻擊其他人。

AncientSmith.abilities.ConfuseAbi.effect.effect.name	混亂
AncientSmith.abilities.ConfuseAbi.effect.effect.text	遠古史密斯的裝甲在混亂戰法期間增加。
AncientSmith.abilities.ConfuseAbi.effect.effect2.name	混亂
AncientSmith.abilities.ConfuseAbi.effect.effect2.text	此單位被遠古史密斯威脅而無法攻擊其他人。

AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.name	混亂
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect.text	遠古史密斯的裝甲在混亂戰法期間增加。
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.name	混亂
AncientSmithCloneEast.abilities.ConfuseAbi.effect.effect2.text	此單位被遠古史密斯威脅而無法攻擊其他人。

AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.name	混亂
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect.text	遠古史密斯的裝甲在混亂戰法期間增加。
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.name	混亂
AncientSmithCloneWest.abilities.ConfuseAbi.effect.effect2.text	此單位被遠古史密斯威脅而無法攻擊其他人。

AncientSmithMinion.abilities.ConfuseAbi.effect.effect.name	混亂
AncientSmithMinion.abilities.ConfuseAbi.effect.effect.text	遠古史密斯的裝甲在混亂戰法期間增加。
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.name	混亂
AncientSmithMinion.abilities.ConfuseAbi.effect.effect2.text	此單位被遠古史密斯威脅而無法攻擊其他人。

QueenProtector.abilities.Taunt.effect.effect.name	治療	
QueenProtector.abilities.Taunt.effect.effect.text	皇后正在獲得治療的皇后保護者。
QueenProtector.abilities.Taunt.effect.effect2.name	混亂
QueenProtector.abilities.Taunt.effect.effect2.text	此單位受到皇后保衛者的威脅而無法攻擊其他人。

BridgeTrooper.abilities.Inject.effect.name	注射
BridgeTrooper.abilities.Inject.effect.text	裝甲兵在注射藥物的影響下恢復他的生命值。
